"","animalID","sex","cohort","age_days","harvest_date","hatch_date","tissue","tissue_grind_date","RNA_extract_date","RNA_batch","RNA_extractor","RNAID","cDNA_batch","plate_well","sampleNames","lib","censored","censor_code","notes"
"C8_1","P_1B_2","M","1B",133,"1/31/22","9/20/21","Liver",NA,"3/21/22","Liver_1","IG","RNA692",1,"C8","C8","C8_1",NA,NA,NA
"C8_2","P_1A_1","F","1A",47,"10/25/21","9/8/21","Fat","4/13/23","4/19/23","Fat_3","EC","RNA569",2,"C8","C8","C8_2",NA,NA,NA
"C9_1","D05","M","2",162,"8/23/22","3/14/22","Kidney",NA,"3/4/23","Kidney_1","EC","R244",1,"C9","C9","C9_1",NA,NA,NA
"C9_2","E02","F","2",78,"5/31/22","3/14/22","SpinalCord",NA,"3/10/23","SpinalCord_1","EC","RNA409",2,"C9","C9","C9_2",NA,NA,NA
"D1_1","E_01","M","2",52,"5/5/22","3/14/22","Gut",NA,"3/8/23","Gut_1","EC","RNA355",1,"D1","D1","D1_1",NA,NA,NA
"D1_2","I03","M","2",162,"8/23/22","3/14/22","Bone","4/19/23","4/22/23","Bone_1","EC","RNA575",2,"D1","D1","D1_2",NA,NA,NA
"D10_1","P_1B_2","M","1B",133,"1/31/22","9/20/21","Kidney",NA,"3/4/23","Kidney_1","JC","R261",1,"D10","D10","D10_1",NA,NA,NA
"D10_2","P_1B_4","F","1B",147,"2/14/22","9/20/21","SpinalCord",NA,"3/13/23","SpinalCord_2","JC","RNA426",2,"D10","D10","D10_2",NA,NA,NA
"D11_1","J_1A_13","M","1A",75,"11/22/21","9/8/21","Kidney",NA,"3/4/23","Kidney_2","JC","R277",1,"D11","D11","D11_1",NA,NA,NA
"D11_2","J04","M","2",162,"8/23/22","3/14/22","SpinalCord",NA,"3/13/23","SpinalCord_2","JC","RNA442",2,"D11","D11","D11_2",NA,NA,NA
"D12_1","J_1A_17","M","1A",47,"10/25/21","9/8/21","Kidney",NA,"3/4/23","Kidney_2","EC","R293",1,"D12","D12","D12_1",NA,NA,NA
"D12_2","P_1B_3","F","1B",77,"12/6/21","9/20/21","SpinalCord",NA,"3/13/23","SpinalCord_2","EC","RNA459",2,"D12","D12","D12_2",NA,NA,NA
"D13_1","A06","F","2",102,"6/24/22","3/14/22","Muscle",NA,"3/15/23","Muscle_1","EC","RNA465",1,"D13","D13","D13_1",NA,NA,NA
"D13_2","A01","M","2",78,"5/31/22","3/14/22","Heart",NA,"3/3/23","Heart_1","EC","R190",2,"D13","D13","D13_2",NA,NA,NA
"D14_1","P_1A_10","M","1A",103,"12/20/21","9/8/21","Muscle",NA,"3/17/23","Muscle_2","EC","RNA481",1,"D14","D14","D14_1",NA,NA,NA
"D14_2","J_1B_18","F","1B",133,"1/31/22","9/20/21","Heart",NA,"3/3/23","Heart_1","JC","R206",2,"D14","D14","D14_2",NA,NA,NA
"D15_1","I06","F","2",78,"5/31/22","3/14/22","Muscle",NA,"3/17/23","Muscle_2","EC","RNA497",1,"D15","D15","D15_1",NA,NA,NA
"D15_2","J_1A_13","M","1A",75,"11/22/21","9/8/21","Heart",NA,"3/3/23","Heart_1","JC","R222",2,"D15","D15","D15_2",NA,NA,NA
"D16_1","P_1A_3","M","1A",152,"2/7/22","9/8/21","Muscle",NA,"3/27/23","Muscle_3","EC","RNA513",1,"D16","D16","D16_1",NA,NA,NA
"D16_2","J_1A_24","F","1A",47,"10/25/21","9/8/21","Heart",NA,"3/3/23","Heart_2","EC","R238",2,"D16","D16","D16_2",NA,NA,NA
"D17_1","I06","F","2",78,"5/31/22","3/14/22","Skin",NA,"2/8/23","Skin_1","EC","R80",1,"D17","D17","D17_1",NA,NA,NA
"D17_2","A06","F","2",102,"6/24/22","3/14/22","Spleen",NA,"3/6/23","Spleen_1","EC","RNA300",2,"D17","D17","D17_2",NA,NA,NA
"D18_1","P_1A_2","F","1A",103,"12/20/21","9/8/21","Skin",NA,"2/8/23","Skin_1","IG","R96",1,"D18","D18","D18_1",NA,NA,NA
"D18_2","P_1A_4","M","1A",133,"1/19/22","9/8/21","Spleen",NA,"3/6/23","Spleen_1","JC","RNA316",2,"D18","D18","D18_2",NA,NA,NA
"D19_1","J_1A_25","M","1A",103,"12/20/21","9/8/21","Skin",NA,"2/8/23","Skin_2","IG","R112",1,"D19","D19","D19_1",NA,NA,NA
"D19_2","D12","M","2",134,"7/26/22","3/14/22","Spleen",NA,"3/6/23","Spleen_1","JC","RNA332",2,"D19","D19","D19_2",NA,NA,NA
"D2_1","J_1B_4","M","1B",161,"2/28/22","9/20/21","Gut",NA,"3/8/23","Gut_1","JC","RNA371",1,"D2","D2","D2_1",NA,NA,NA
"D2_2","P_1A_8","F","1A",75,"11/22/21","9/8/21","Bone","4/26/23","4/22/23","Bone_2","EC","RNA593",2,"D2","D2","D2_2",NA,NA,NA
"D20_1","J_1A_14","M","1A",75,"11/22/21","9/8/21","Skin",NA,"2/8/23","Skin_2","EC","R128",1,"D20","D20","D20_1",NA,NA,NA
"D20_2","P_1B_9","F","1B",49,"11/8/21","9/20/21","Spleen",NA,"3/6/23","Spleen_2","EC","RNA348",2,"D20","D20","D20_2",NA,NA,NA
"D21_1","I06","F","2",78,"5/31/22","3/14/22","Ovary",NA,"2/10/23","Ovary_1","EC","135",1,"D21","D21","D21_1",NA,NA,NA
"D21_2","E04","M","2",102,"6/24/22","3/14/22","Brain",NA,"1/31/23","Brain_1","IG","R26",2,"D21","D21","D21_2",NA,NA,NA
"D23_1","P_1A_10","M","1A",103,"12/20/21","9/8/21","Testis",NA,"2/24/23","Testis_2","EC","167",1,"D23","D23","D23_1",NA,NA,NA
"D23_2","P_1A_8","F","1A",75,"11/22/21","9/8/21","Brain",NA,"2/1/23","Brain_2","EC","R58",2,"D23","D23","D23_2",NA,NA,NA
"D24_1","P_1B_2","M","1B",133,"1/31/22","9/20/21","Testis",NA,"2/24/23","Testis_2","JC","183",1,"D24","D24","D24_1",NA,NA,NA
"D24_2","J_1B_20","M","1B",77,"12/6/21","9/20/21","Brain",NA,"2/1/23","Brain_2","IG","R74",2,"D24","D24","D24_2",NA,NA,NA
"D3_1","J04","M","2",162,"8/23/22","3/14/22","Gut",NA,"3/8/23","Gut_1","JC","RNA387",1,"D3","D3","D3_1",NA,NA,NA
"D3_2","J_1B_2","M","1B",49,"11/8/21","9/20/21","Bone","4/28/23","4/29/23","Bone_3","EC","RNA609",2,"D3","D3","D3_2",NA,NA,NA
"D4_1","P_1B_4","F","1B",147,"2/14/22","9/20/21","Gut",NA,"3/9/23","Gut_2","EC","RNA403",1,"D4","D4","D4_1",NA,NA,NA
"D4_2","J_1A_14","M","1A",75,"11/22/21","9/8/21","Bone","4/28/23","4/29/23","Bone_3","EC","RNA625",2,"D4","D4","D4_2",NA,NA,NA
"D5_1","F05","M","2",102,"6/24/22","3/14/22","Liver",NA,"1/30/23","Liver_2","EC","R04",1,"D5","D5","D5_1",NA,NA,NA
"D5_2","A06","F","2",102,"6/24/22","3/14/22","Fat","4/11/23","4/16/23","Fat_1","EC","RNA520",2,"D5","D5","D5_2",NA,NA,NA
"D6_1","D05","M","2",162,"8/23/22","3/14/22","Liver",NA,"1/30/23","Liver_2","IG","R20",1,"D6","D6","D6_1",NA,NA,NA
"D6_2","P_1A_6","M","1A",133,"1/19/22","9/8/21","Fat","4/12/23","4/17/23","Fat_2","EC","RNA536",2,"D6","D6","D6_2",NA,NA,NA
"D7_1","P_1B_4","F","1B",147,"2/14/22","9/20/21","Liver",NA,"3/21/22","Liver_1","EC","RNA677",1,"D7","D7","D7_1",NA,NA,NA
"D7_2","J05","F","2",102,"6/24/22","3/14/22","Fat","4/12/23","4/17/23","Fat_2","EC","RNA552",2,"D7","D7","D7_2",NA,NA,NA
"D8_1","P_1A_3","M","1A",152,"2/7/22","9/8/21","Liver",NA,"3/21/22","Liver_1","IG","RNA693",1,"D8","D8","D8_1",NA,NA,NA
"D8_2","P_1B_4","F","1B",147,"2/14/22","9/20/21","Fat","4/13/23","4/19/23","Fat_3","EC","RNA570",2,"D8","D8","D8_2",NA,NA,NA
"D9_1","B01","M","2",134,"7/26/22","3/14/22","Kidney",NA,"3/4/23","Kidney_1","EC","R245",1,"D9","D9","D9_1",NA,NA,NA
"D9_2","D_14","F","2",52,"5/5/22","3/14/22","SpinalCord",NA,"3/10/23","SpinalCord_1","EC","RNA410",2,"D9","D9","D9_2",NA,NA,NA
"E1_1","A01","M","2",78,"5/31/22","3/14/22","Gut",NA,"3/8/23","Gut_1","EC","RNA356",1,"E1","E1","E1_1",NA,NA,NA
"E1_2","C03","M","2",162,"8/23/22","3/14/22","Bone","4/19/23","4/22/23","Bone_1","EC","RNA576",2,"E1","E1","E1_2",NA,NA,NA
"E10_1","P_1A_2","F","1A",103,"12/20/21","9/8/21","Kidney",NA,"3/4/23","Kidney_1","JC","R262",1,"E10","E10","E10_1",NA,NA,NA
"E10_2","P_1A_4","M","1A",133,"1/19/22","9/8/21","SpinalCord",NA,"3/13/23","SpinalCord_2","JC","RNA427",2,"E10","E10","E10_2",NA,NA,NA
"E11_1","A06","F","2",102,"6/24/22","3/14/22","Kidney",NA,"3/4/23","Kidney_2","JC","R278",1,"E11","E11","E11_1",NA,NA,NA
"E11_2","D05","M","2",162,"8/23/22","3/14/22","SpinalCord",NA,"3/13/23","SpinalCord_2","JC","RNA443",2,"E11","E11","E11_2",NA,NA,NA
"E12_1","J_1B_7","F","1B",147,"2/14/22","9/20/21","Kidney",NA,"3/4/23","Kidney_2","EC","R294",1,"E12","E12","E12_1",NA,NA,NA
"E12_2","J_1A_24","F","1A",47,"10/25/21","9/8/21","SpinalCord",NA,"3/13/23","SpinalCord_2","EC","RNA460",2,"E12","E12","E12_2",NA,NA,NA
"E13_1","A01","M","2",78,"5/31/22","3/14/22","Muscle",NA,"3/15/23","Muscle_1","EC","RNA466",1,"E13","E13","E13_1",NA,NA,NA
"E13_2","B01","M","2",134,"7/26/22","3/14/22","Heart",NA,"3/3/23","Heart_1","EC","R191",2,"E13","E13","E13_2",NA,NA,NA
"E14_1","P_1B_4","F","1B",147,"2/14/22","9/20/21","Muscle",NA,"3/17/23","Muscle_2","EC","RNA482",1,"E14","E14","E14_1",NA,NA,NA
"E14_2","P_1A_1","F","1A",47,"10/25/21","9/8/21","Heart",NA,"3/3/23","Heart_1","JC","R207",2,"E14","E14","E14_2",NA,NA,NA
"E15_1","A17","M","2",78,"5/31/22","3/14/22","Muscle",NA,"3/17/23","Muscle_2","EC","RNA498",1,"E15","E15","E15_1",NA,NA,NA
"E15_2","E04","M","2",102,"6/24/22","3/14/22","Heart",NA,"3/3/23","Heart_2","EC","R223",2,"E15","E15","E15_2",NA,NA,NA
"E16_1","J_1A_1","M","1A",152,"2/7/22","9/8/21","Muscle",NA,"3/27/23","Muscle_3","EC","RNA514",1,"E16","E16","E16_1",NA,NA,NA
"E16_2","J_1B_5","F","1B",49,"11/8/21","9/20/21","Heart",NA,"3/3/23","Heart_2","EC","R239",2,"E16","E16","E16_2",NA,NA,NA
"E17_1","A17","M","2",78,"5/31/22","3/14/22","Skin",NA,"2/8/23","Skin_1","EC","R81",1,"E17","E17","E17_1",NA,NA,NA
"E17_2","I03","M","2",162,"8/23/22","3/14/22","Spleen",NA,"3/6/23","Spleen_1","EC","RNA301",2,"E17","E17","E17_2",NA,NA,NA
"E18_1","P_1A_12","F","1A",75,"11/22/21","9/8/21","Skin",NA,"2/8/23","Skin_1","IG","R97",1,"E18","E18","E18_1",NA,NA,NA
"E18_2","J_1B_12","M","1B",49,"11/8/21","9/20/21","Spleen",NA,"3/6/23","Spleen_1","JC","RNA317",2,"E18","E18","E18_2",NA,NA,NA
"E19_1","J_1B_20","M","1B",77,"12/6/21","9/20/21","Skin",NA,"2/8/23","Skin_2","IG","R113",1,"E19","E19","E19_1",NA,NA,NA
"E19_2","C04","F","2",134,"7/26/22","3/14/22","Spleen",NA,"3/6/23","Spleen_2","EC","RNA333",2,"E19","E19","E19_2",NA,NA,NA
"E2_1","J_1B_7","F","1B",147,"2/14/22","9/20/21","Gut",NA,"3/8/23","Gut_1","JC","RNA372",1,"E2","E2","E2_1",NA,NA,NA
"E2_2","P_1A_1","F","1A",47,"10/25/21","9/8/21","Bone","4/26/23","4/22/23","Bone_2","EC","RNA594",2,"E2","E2","E2_2",NA,NA,NA
"E20_1","J_1A_22","M","1A",47,"10/25/21","9/8/21","Skin",NA,"2/8/23","Skin_2","EC","R129",1,"E20","E20","E20_1",NA,NA,NA
"E20_2","J_1B_5","F","1B",49,"11/8/21","9/20/21","Spleen",NA,"3/6/23","Spleen_2","EC","RNA349",2,"E20","E20","E20_2",NA,NA,NA
"E21_1","B01","M","2",134,"7/26/22","3/14/22","Testis",NA,"2/10/23","Testis_1","EC","136",1,"E21","E21","E21_1",NA,NA,NA
"E21_2","J05","F","2",102,"6/24/22","3/14/22","Brain",NA,"1/31/23","Brain_1","IG","R27",2,"E21","E21","E21_2",NA,NA,NA
"E22_2","P_1B_3","F","1B",77,"12/6/21","9/20/21","Brain",NA,"1/31/23","Brain_1","EC","R43",2,"E22","E22","E22_2",NA,NA,NA
