,lib,sampleNames,condition,plate_well,RNAID,tissue,animalID,sex,cohort,age_days,RNA_batch,RNA_extractor,cDNA_batch,seq_batch,file
N01_2,N01_2,N01,BoneM147,N01,RNA585,Bone,P_1B_11,M,1B,147,1,EC,2,2,N1_CKDL240007484-1A_22553JLT4_L6.featureCounts
N15_2,N15_2,N15,HeartM147,N15,R232,Heart,P_1B_8,M,1B,147,2,EC,2,2,N15_CKDL240007484-1A_22553JLT4_L6.featureCounts
O01_2,O01_2,O01,BoneF147,O01,RNA586,Bone,J_1B_7,F,1B,147,1,EC,2,2,O1_CKDL240007484-1A_22553JLT4_L6.featureCounts
O08_2,O08_2,O08,EyeF147,O08,641,Eye,J_1B_7,F,1B,147,NA,MRW,2,2,O8_CKDL240007484-1A_22553JLT4_L6.featureCounts
O09_2,O09_2,O09,SpinalCordF147,O09,RNA421,SpinalCord,J_1B_7,F,1B,147,1,EC,2,2,O9_CKDL240007484-1A_22553JLT4_L6.featureCounts
O16_2,O16_2,O16,EyeM147,O16,657,Eye,P_1B_8,M,1B,147,NA,MRW,2,2,O16_CKDL240007484-1A_22553JLT4_L6.featureCounts
O21_2,O21_2,O21,BrainM147,O21,R37,Brain,P_1B_11,M,1B,147,1,EC,2,2,O21_CKDL240007484-1A_22553JLT4_L6.featureCounts
A14_1,A14_1,A14,MuscleM147,A14,RNA478,Muscle,P_1B_8,M,1B,147,1,EC,1,1,A14_CKDL240007483-1A_22553JLT4_L7.featureCounts
B10_1,B10_1,B10,KidneyM147,B10,R259,Kidney,P_1B_8,M,1B,147,1,JC,1,1,B10_CKDL240007483-1A_22553JLT4_L7.featureCounts
B11_1,B11_1,B11,KidneyF147,B11,R275,Kidney,P_1B_4,F,1B,147,2,JC,1,1,B11_CKDL240007483-1A_22553JLT4_L7.featureCounts
B18_1,B18_1,B18,SkinF147,B18,R94,Skin,J_1B_7,F,1B,147,1,IG,1,1,B18_CKDL240007483-1A_22553JLT4_L7.featureCounts
K23_1,K23_1,K23,GonadM133,K23,174,Testis,P_1A_4,M,1A,133,2,JC,1,1,K23_CKDL240007483-1A_22553JLT4_L7.featureCounts
C21_1,C21_1,C21,GonadM134,C21,134,Testis,D12,M,2,134,1,EC,1,1,C21_CKDL240007483-1A_22553JLT4_L7.featureCounts
D4_1,D4_1,D4,GutF147,D4,RNA403,Gut,P_1B_4,F,1B,147,2,EC,1,1,D4_CKDL240007483-1A_22553JLT4_L7.featureCounts
D7_1,D7_1,D7,LiverF147,D7,RNA677,Liver,P_1B_4,F,1B,147,1,EC,1,1,D7_CKDL240007483-1A_22553JLT4_L7.featureCounts
E12_1,E12_1,E12,KidneyF147,E12,R294,Kidney,J_1B_7,F,1B,147,2,EC,1,1,E12_CKDL240007483-1A_22553JLT4_L7.featureCounts
E14_1,E14_1,E14,MuscleF147,E14,RNA482,Muscle,P_1B_4,F,1B,147,2,EC,1,1,E14_CKDL240007483-1A_22553JLT4_L7.featureCounts
E2_1,E2_1,E2,GutF147,E2,RNA372,Gut,J_1B_7,F,1B,147,1,JC,1,1,E2_CKDL240007483-1A_22553JLT4_L7.featureCounts
E7_1,E7_1,E7,LiverM147,E7,RNA678,Liver,P_1B_8,M,1B,147,1,EC,1,1,E7_CKDL240007483-1A_22553JLT4_L7.featureCounts
E8_1,E8_1,E8,LiverF147,E8,RNA694,Liver,J_1B_7,F,1B,147,1,IG,1,1,E8_CKDL240007483-1A_22553JLT4_L7.featureCounts
F14_1,F14_1,F14,MuscleF147,F14,RNA483,Muscle,J_1B_7,F,1B,147,2,EC,1,1,F14_CKDL240007483-1A_22553JLT4_L7.featureCounts
F18_1,F18_1,F18,SkinF147,F18,R98,Skin,P_1B_4,F,1B,147,1,IG,1,1,F18_CKDL240007483-1A_22553JLT4_L7.featureCounts
F2_1,F2_1,F2,GutM147,F2,RNA373,Gut,P_1B_11,M,1B,147,1,JC,1,1,F2_CKDL240007483-1A_22553JLT4_L7.featureCounts
F8_1,F8_1,F8,LiverM147,F8,RNA695,Liver,P_1B_11,M,1B,147,1,IG,1,1,F8_CKDL240007483-1A_22553JLT4_L7.featureCounts
G20_1,G20_1,G20,SkinM147,G20,R131,Skin,P_1B_8,M,1B,147,2,EC,1,1,G20_CKDL240007483-1A_22553JLT4_L7.featureCounts
E21_1,E21_1,E21,GonadM134,E21,136,Testis,B01,M,2,134,1,EC,1,1,E21_CKDL240007483-1A_22553JLT4_L7.featureCounts
H18_1,H18_1,H18,SkinM147,H18,R100,Skin,P_1B_11,M,1B,147,1,IG,1,1,H18_CKDL240007483-1A_22553JLT4_L7.featureCounts
J15_1,J15_1,J15,MuscleM147,J15,RNA503,Muscle,P_1B_11,M,1B,147,3,EC,1,1,J15_CKDL240007483-1A_22553JLT4_L7.featureCounts
L11_1,L11_1,L11,KidneyM147,L11,R285,Kidney,P_1B_11,M,1B,147,2,EC,1,1,L11_CKDL240007483-1A_22553JLT4_L7.featureCounts
P1_1,P1_1,P1,GutM147,P1,RNA367,Gut,P_1B_8,M,1B,147,1,EC,1,1,P1_CKDL240007483-1A_22553JLT4_L7.featureCounts
A18_2,A18_2,A18,SpleenM152,A18,RNA313,Spleen,P_1A_3,M,1A,152,1,EC,2,2,A18_CKDL240007484-1A_22553JLT4_L6.featureCounts
A22_2,A22_2,A22,BrainM152,A22,R39,Brain,J_1A_1,M,1A,152,1,EC,2,2,A22_CKDL240007484-1A_22553JLT4_L6.featureCounts
C12_2,C12_2,C12,SpinalCordM152,C12,RNA457,SpinalCord,J_1A_1,M,1A,152,2,EC,2,2,C12_CKDL240007484-1A_22553JLT4_L6.featureCounts
C14_2,C14_2,C14,HeartM152,C14,R205,Heart,J_1A_1,M,1A,152,1,JC,2,2,C14_CKDL240007484-1A_22553JLT4_L6.featureCounts
D02_2,D02_2,D02,BoneM152,D02,RNA591,Bone,J_1A_1,M,1A,152,2,EC,2,2,D2_CKDL240007484-1A_22553JLT4_L6.featureCounts
D08_2,D08_2,D08,FatM152,D08,RNA568,Fat,P_1A_3,M,1A,152,3,EC,2,2,D8_CKDL240007484-1A_22553JLT4_L6.featureCounts
H10_2,H10_2,H10,SpinalCordM152,H10,RNA430,SpinalCord,P_1A_3,M,1A,152,2,JC,2,2,H10_CKDL240007484-1A_22553JLT4_L6.featureCounts
K20_2,K20_2,K20,EyeM152,K20,661,Eye,J_1A_1,M,1A,152,NA,MRW,2,2,K20_CKDL240007484-1A_22553JLT4_L6.featureCounts
L01_2,L01_2,L01,BoneM152,L01,RNA583,Bone,P_1A_3,M,1A,152,1,EC,2,2,L1_CKDL240007484-1A_22553JLT4_L6.featureCounts
L08_2,L08_2,L08,EyeM152,L08,638,Eye,P_1A_3,M,1A,152,NA,MRW,2,2,L8_CKDL240007484-1A_22553JLT4_L6.featureCounts
L15_2,L15_2,L15,HeartM152,L15,R230,Heart,P_1A_3,M,1A,152,2,EC,2,2,L15_CKDL240007484-1A_22553JLT4_L6.featureCounts
N19_2,N19_2,N19,SpleenM152,N19,RNA342,Spleen,J_1A_1,M,1A,152,2,EC,2,2,N19_CKDL240007484-1A_22553JLT4_L6.featureCounts
P05_2,P05_2,P05,FatM152,P05,RNA532,Fat,J_1A_1,M,1A,152,1,EC,2,2,P5_CKDL240007484-1A_22553JLT4_L6.featureCounts
P21_2,P21_2,P21,BrainM152,P21,R38,Brain,P_1A_3,M,1A,152,1,EC,2,2,P21_CKDL240007484-1A_22553JLT4_L6.featureCounts
C7_1,C7_1,C7,LiverM152,C7,RNA676,Liver,J_1A_1,M,1A,152,1,EC,1,1,C7_CKDL240007483-1A_22553JLT4_L7.featureCounts
D16_1,D16_1,D16,MuscleM152,D16,RNA513,Muscle,P_1A_3,M,1A,152,3,EC,1,1,D16_CKDL240007483-1A_22553JLT4_L7.featureCounts
D8_1,D8_1,D8,LiverM152,D8,RNA693,Liver,P_1A_3,M,1A,152,1,IG,1,1,D8_CKDL240007483-1A_22553JLT4_L7.featureCounts
E16_1,E16_1,E16,MuscleM152,E16,RNA514,Muscle,J_1A_1,M,1A,152,3,EC,1,1,E16_CKDL240007483-1A_22553JLT4_L7.featureCounts
E4_1,E4_1,E4,GutM152,E4,RNA404,Gut,J_1A_1,M,1A,152,2,EC,1,1,E4_CKDL240007483-1A_22553JLT4_L7.featureCounts
F19_1,F19_1,F19,SkinM152,F19,R114,Skin,P_1A_3,M,1A,152,2,IG,1,1,F19_CKDL240007483-1A_22553JLT4_L7.featureCounts
G10_1,G10_1,G10,KidneyM152,G10,R264,Kidney,P_1A_3,M,1A,152,1,JC,1,1,G10_CKDL240007483-1A_22553JLT4_L7.featureCounts
C24_1,C24_1,C24,GonadM147,C24,182,Testis,P_1B_8,M,1B,147,2,JC,1,1,C24_CKDL240007483-1A_22553JLT4_L7.featureCounts
M1_1,M1_1,M1,GutM152,M1,RNA364,Gut,P_1A_3,M,1A,152,1,EC,1,1,M1_CKDL240007483-1A_22553JLT4_L7.featureCounts
N10_1,N10_1,N10,KidneyM152,N10,R271,Kidney,J_1A_1,M,1A,152,2,JC,1,1,N10_CKDL240007483-1A_22553JLT4_L7.featureCounts
O19_1,O19_1,O19,SkinM152,O19,R123,Skin,J_1A_1,M,1A,152,2,EC,1,1,O19_CKDL240007483-1A_22553JLT4_L7.featureCounts
A03_2,A03_2,A03,BoneF155,A03,RNA604,Bone,C1,F,2,155,2,EC,2,2,A3_CKDL240007484-1A_22553JLT4_L6.featureCounts
A19_2,A19_2,A19,SpleenF155,A19,RNA329,Spleen,C1,F,2,155,1,JC,2,2,A19_CKDL240007484-1A_22553JLT4_L6.featureCounts
B9_2,B9_2,B9,SpinalCordF155,B9,RNA408,SpinalCord,J9,F,2,155,1,EC,2,2,B9_CKDL240007484-1A_22553JLT4_L6.featureCounts
C19_2,C19_2,C19,SpleenF155,C19,RNA331,Spleen,J9,F,2,155,1,JC,2,2,C19_CKDL240007484-1A_22553JLT4_L6.featureCounts
E03_2,E03_2,E03,BoneF155,E03,RNA608,Bone,J9,F,2,155,3,EC,2,2,E3_CKDL240007484-1A_22553JLT4_L6.featureCounts
E05_2,E05_2,E05,FatF155,E05,RNA521,Fat,C1,F,2,155,1,EC,2,2,E5_CKDL240007484-1A_22553JLT4_L6.featureCounts
I15_2,I15_2,I15,HeartF155,I15,R227,Heart,C1,F,2,155,2,EC,2,2,I15_CKDL240007484-1A_22553JLT4_L6.featureCounts
J21_2,J21_2,J21,BrainF155,J21,R32,Brain,J9,F,2,155,1,IG,2,2,J21_CKDL240007484-1A_22553JLT4_L6.featureCounts
K06_2,K06_2,K06,FatF155,K06,RNA543,Fat,J9,F,2,155,2,EC,2,2,K6_CKDL240007484-1A_22553JLT4_L6.featureCounts
K13_2,K13_2,K13,HeartF155,K13,R197,Heart,J9,F,2,155,1,EC,2,2,K13_CKDL240007484-1A_22553JLT4_L6.featureCounts
L22_2,L22_2,L22,BrainF155,L22,R50,Brain,C1,F,2,155,2,EC,2,2,L22_CKDL240007484-1A_22553JLT4_L6.featureCounts
O10_2,O10_2,O10,SpinalCordF155,O10,RNA437,SpinalCord,C1,F,2,155,2,JC,2,2,O10_CKDL240007484-1A_22553JLT4_L6.featureCounts
A1_1,A1_1,A1,GutF155,A1,RNA352,Gut,J9,F,2,155,1,EC,1,1,A1_CKDL240007483-1A_22553JLT4_L7.featureCounts
B13_1,B13_1,B13,MuscleF155,B13,RNA463,Muscle,J9,F,2,155,1,EC,1,1,B13_CKDL240007483-1A_22553JLT4_L7.featureCounts
B17_1,B17_1,B17,SkinF155,B17,R78,Skin,C1,F,2,155,1,EC,1,1,B17_CKDL240007483-1A_22553JLT4_L7.featureCounts
G24_1,G24_1,G24,GonadM147,G24,186,Testis,P_1B_11,M,1B,147,2,JC,1,1,G24_CKDL240007483-1A_22553JLT4_L7.featureCounts
F9_1,F9_1,F9,KidneyF155,F9,R247,Kidney,J9,F,2,155,1,EC,1,1,F9_CKDL240007483-1A_22553JLT4_L7.featureCounts
H23_1,H23_1,H23,GonadM152,H23,171,Testis,J_1A_1,M,1A,152,2,EC,1,1,H23_CKDL240007483-1A_22553JLT4_L7.featureCounts
K13_1,K13_1,K13,MuscleF155,K13,RNA472,Muscle,C1,F,2,155,1,EC,1,1,K13_CKDL240007483-1A_22553JLT4_L7.featureCounts
L2_1,L2_1,L2,GutF155,L2,RNA379,Gut,C1,F,2,155,1,JC,1,1,L2_CKDL240007483-1A_22553JLT4_L7.featureCounts
L5_1,L5_1,L5,LiverF155,L5,R12,Liver,C1,F,2,155,2,IG,1,1,L5_CKDL240007483-1A_22553JLT4_L7.featureCounts
M18_1,M18_1,M18,SkinF155,M18,R105,Skin,J9,F,2,155,2,IG,1,1,M18_CKDL240007483-1A_22553JLT4_L7.featureCounts
M5_1,M5_1,M5,LiverF155,M5,R13,Liver,J9,F,2,155,2,IG,1,1,M5_CKDL240007483-1A_22553JLT4_L7.featureCounts
M9_1,M9_1,M9,KidneyF155,M9,R254,Kidney,C1,F,2,155,1,EC,1,1,M9_CKDL240007483-1A_22553JLT4_L7.featureCounts
A12_2,A12_2,A12,SpinalCordM161,A12,RNA455,SpinalCord,J_1B_4,M,1B,161,2,EC,2,2,A12_CKDL240007484-1A_22553JLT4_L6.featureCounts
B20_2,B20_2,B20,SpleenM161,B20,RNA346,Spleen,J_1B_4,M,1B,161,2,EC,2,2,B20_CKDL240007484-1A_22553JLT4_L6.featureCounts
E24_2,E24_2,E24,BrainM161,E24,R75,Brain,J_1B_11,M,1B,161,2,IG,2,2,E24_CKDL240007484-1A_22553JLT4_L6.featureCounts
G11_2,G11_2,G11,SpinalCordM161,G11,RNA445,SpinalCord,J_1B_11,M,1B,161,2,EC,2,2,G11_CKDL240007484-1A_22553JLT4_L6.featureCounts
M03_2,M03_2,M03,BoneM161,M03,RNA616,Bone,J_1B_11,M,1B,161,3,EC,2,2,M3_CKDL240007484-1A_22553JLT4_L6.featureCounts
M07_2,M07_2,M07,FatM161,M07,RNA561,Fat,J_1B_4,M,1B,161,3,EC,2,2,M7_CKDL240007484-1A_22553JLT4_L6.featureCounts
M15_2,M15_2,M15,HeartM161,M15,R231,Heart,J_1B_4,M,1B,161,2,EC,2,2,M15_CKDL240007484-1A_22553JLT4_L6.featureCounts
N03_2,N03_2,N03,BoneM161,N03,RNA617,Bone,J_1B_4,M,1B,161,3,EC,2,2,N3_CKDL240007484-1A_22553JLT4_L6.featureCounts
N05_2,N05_2,N05,FatM161,N05,RNA530,Fat,J_1B_11,M,1B,161,1,EC,2,2,N5_CKDL240007484-1A_22553JLT4_L6.featureCounts
N08_2,N08_2,N08,EyeF161,N08,640,Eye,J_1B_4,F,1B,161,NA,MRW,2,2,N8_CKDL240007484-1A_22553JLT4_L6.featureCounts
N14_2,N14_2,N14,HeartM161,N14,R216,Heart,J_1B_11,M,1B,161,1,JC,2,2,N14_CKDL240007484-1A_22553JLT4_L6.featureCounts
N17_2,N17_2,N17,SpleenM161,N17,RNA310,Spleen,J_1B_11,M,1B,161,1,EC,2,2,N17_CKDL240007484-1A_22553JLT4_L6.featureCounts
O23_2,O23_2,O23,BrainM161,O23,R69,Brain,J_1B_4,M,1B,161,2,IG,2,2,O23_CKDL240007484-1A_22553JLT4_L6.featureCounts
A12_1,A12_1,A12,KidneyM161,A12,R290,Kidney,J_1B_4,M,1B,161,2,EC,1,1,A12_CKDL240007483-1A_22553JLT4_L7.featureCounts
A18_1,A18_1,A18,SkinM161,A18,R93,Skin,J_1B_4,M,1B,161,1,IG,1,1,A18_CKDL240007483-1A_22553JLT4_L7.featureCounts
A20_1,A20_1,A20,SkinM161,A20,R125,Skin,J_1B_11,M,1B,161,2,EC,1,1,A20_CKDL240007483-1A_22553JLT4_L7.featureCounts
D2_1,D2_1,D2,GutM161,D2,RNA371,Gut,J_1B_4,M,1B,161,1,JC,1,1,D2_CKDL240007483-1A_22553JLT4_L7.featureCounts
F7_1,F7_1,F7,LiverM161,F7,RNA679,Liver,J_1B_11,M,1B,161,1,EC,1,1,F7_CKDL240007483-1A_22553JLT4_L7.featureCounts
G8_1,G8_1,G8,LiverM161,G8,RNA696,Liver,J_1B_4,M,1B,161,1,IG,1,1,G8_CKDL240007483-1A_22553JLT4_L7.featureCounts
L1_1,L1_1,L1,GutM161,L1,RNA363,Gut,J_1B_11,M,1B,161,1,EC,1,1,L1_CKDL240007483-1A_22553JLT4_L7.featureCounts
L13_1,L13_1,L13,MuscleM161,L13,RNA473,Muscle,J_1B_11,M,1B,161,1,EC,1,1,L13_CKDL240007483-1A_22553JLT4_L7.featureCounts
L23_1,L23_1,L23,GonadM161,L23,175,Testis,J_1B_11,M,1B,161,2,JC,1,1,L23_CKDL240007483-1A_22553JLT4_L7.featureCounts
M15_1,M15_1,M15,MuscleM161,M15,RNA506,Muscle,J_1B_4,M,1B,161,3,EC,1,1,M15_CKDL240007483-1A_22553JLT4_L7.featureCounts
O11_1,O11_1,O11,KidneyM161,O11,R288,Kidney,J_1B_11,M,1B,161,2,EC,1,1,O11_CKDL240007483-1A_22553JLT4_L7.featureCounts
P23_1,P23_1,P23,GonadM161,P23,179,Testis,J_1B_4,M,1B,161,2,JC,1,1,P23_CKDL240007483-1A_22553JLT4_L7.featureCounts
A09_2,A09_2,A09,SpinalCordM162,A09,RNA407,SpinalCord,I_03,M,2,162,1,EC,2,2,A9_CKDL240007484-1A_22553JLT4_L6.featureCounts
A13_2,A13_2,A13,HeartM162,A13,R187,Heart,D_05,M,2,162,1,EC,2,2,A13_CKDL240007484-1A_22553JLT4_L6.featureCounts
A21_2,A21_2,A21,BrainM162,A21,R23,Brain,D_05,M,2,162,1,IG,2,2,A21_CKDL240007484-1A_22553JLT4_L6.featureCounts
B21_2,B21_2,B21,BrainM162,B21,R24,Brain,I_03,M,2,162,1,IG,2,2,B21_CKDL240007484-1A_22553JLT4_L6.featureCounts
C13_2,C13_2,C13,HeartM162,C13,R189,Heart,C_03,M,2,162,1,EC,2,2,C13_CKDL240007484-1A_22553JLT4_L6.featureCounts
C17_2,C17_2,C17,SpleenM162,C17,RNA299,Spleen,C_03,M,2,162,1,EC,2,2,C17_CKDL240007484-1A_22553JLT4_L6.featureCounts
D01_2,D01_2,D01,BoneM162,D01,RNA575,Bone,I_03,M,2,162,1,EC,2,2,D1_CKDL240007484-1A_22553JLT4_L6.featureCounts
D11_2,D11_2,D11,SpinalCordM162,D11,RNA442,SpinalCord,J_04,M,2,162,2,JC,2,2,D11_CKDL240007484-1A_22553JLT4_L6.featureCounts
E01_2,E01_2,E01,BoneM162,E01,RNA576,Bone,C_03,M,2,162,1,EC,2,2,E1_CKDL240007484-1A_22553JLT4_L6.featureCounts
E11_2,E11_2,E11,SpinalCordM162,E11,RNA443,SpinalCord,D_05,M,2,162,2,JC,2,2,E11_CKDL240007484-1A_22553JLT4_L6.featureCounts
E17_2,E17_2,E17,SpleenM162,E17,RNA301,Spleen,I_03,M,2,162,1,EC,2,2,E17_CKDL240007484-1A_22553JLT4_L6.featureCounts
G05_2,G05_2,G05,FatM162,G05,RNA523,Fat,I_03,M,2,162,1,EC,2,2,G5_CKDL240007484-1A_22553JLT4_L6.featureCounts
G15_2,G15_2,G15,HeartM162,G15,R225,Heart,I_03,M,2,162,2,EC,2,2,G15_CKDL240007484-1A_22553JLT4_L6.featureCounts
H05_2,H05_2,H05,FatM162,H05,RNA524,Fat,C_03,M,2,162,1,EC,2,2,H5_CKDL240007484-1A_22553JLT4_L6.featureCounts
I17_2,I17_2,I17,SpleenM162,I17,RNA305,Spleen,J_04,M,2,162,1,EC,2,2,I17_CKDL240007484-1A_22553JLT4_L6.featureCounts
I22_2,I22_2,I22,BrainM162,I22,R47,Brain,C_03,M,2,162,2,EC,2,2,I22_CKDL240007484-1A_22553JLT4_L6.featureCounts
J05_2,J05_2,J05,FatM162,J05,RNA526,Fat,D_05,M,2,162,1,EC,2,2,J5_CKDL240007484-1A_22553JLT4_L6.featureCounts
J08_2,J08_2,J08,EyeM162,J08,636,Eye,J04,M,2,162,NA,MRW,2,2,J8_CKDL240007484-1A_22553JLT4_L6.featureCounts
J09_2,J09_2,J09,SpinalCordM162,J09,RNA416,SpinalCord,C_03,M,2,162,1,EC,2,2,J9_CKDL240007484-1A_22553JLT4_L6.featureCounts
J15_2,J15_2,J15,HeartM162,J15,R228,Heart,J_04,M,2,162,2,EC,2,2,J15_CKDL240007484-1A_22553JLT4_L6.featureCounts
K16_2,K16_2,K16,EyeM162,K16,653,Eye,C03,M,2,162,NA,MRW,2,2,K16_CKDL240007484-1A_22553JLT4_L6.featureCounts
K21_2,K21_2,K21,BrainM162,K21,R33,Brain,J_04,M,2,162,1,IG,2,2,K21_CKDL240007484-1A_22553JLT4_L6.featureCounts
L20_2,L20_2,L20,EyeM162,L20,662,Eye,D05,M,2,162,NA,MRW,2,2,L20_CKDL240007484-1A_22553JLT4_L6.featureCounts
M18_2,M18_2,M18,SpleenM162,M18,RNA325,Spleen,D_05,M,2,162,1,JC,2,2,M18_CKDL240007484-1A_22553JLT4_L6.featureCounts
N02_2,N02_2,N02,BoneM162,N02,RNA601,Bone,J_04,M,2,162,2,EC,2,2,N2_CKDL240007484-1A_22553JLT4_L6.featureCounts
O02_2,O02_2,O02,BoneM162,O02,RNA602,Bone,D_05,M,2,162,2,EC,2,2,O2_CKDL240007484-1A_22553JLT4_L6.featureCounts
P04_2,P04_2,P04,EyeM162,P04,634,Eye,I03,M,2,162,NA,MRW,2,2,P4_CKDL240007484-1A_22553JLT4_L6.featureCounts
P06_2,P06_2,P06,FatM162,P06,RNA548,Fat,J_04,M,2,162,2,EC,2,2,P6_CKDL240007484-1A_22553JLT4_L6.featureCounts
A19_1,A19_1,A19,SkinM162,A19,R109,Skin,I_03,M,2,162,2,IG,1,1,A19_CKDL240007483-1A_22553JLT4_L7.featureCounts
B19_1,B19_1,B19,SkinM162,B19,R110,Skin,C_03,M,2,162,2,IG,1,1,B19_CKDL240007483-1A_22553JLT4_L7.featureCounts
B23_1,B23_1,B23,GonadM162,B23,165,Testis,C_03,M,2,162,2,EC,1,1,B23_CKDL240007483-1A_22553JLT4_L7.featureCounts
C5_1,C5_1,C5,LiverM162,C5,R3,Liver,J_04,M,2,162,2,EC,1,1,C5_CKDL240007483-1A_22553JLT4_L7.featureCounts
C9_1,C9_1,C9,KidneyM162,C9,R244,Kidney,D_05,M,2,162,1,EC,1,1,C9_CKDL240007483-1A_22553JLT4_L7.featureCounts
D3_1,D3_1,D3,GutM162,D3,RNA387,Gut,J_04,M,2,162,1,JC,1,1,D3_CKDL240007483-1A_22553JLT4_L7.featureCounts
D6_1,D6_1,D6,LiverM162,D6,R20,Liver,D_05,M,2,162,2,IG,1,1,D6_CKDL240007483-1A_22553JLT4_L7.featureCounts
E5_1,E5_1,E5,LiverM162,E5,R5,Liver,I_03,M,2,162,2,EC,1,1,E5_CKDL240007483-1A_22553JLT4_L7.featureCounts
F1_1,F1_1,F1,GutM162,F1,RNA357,Gut,C_03,M,2,162,1,EC,1,1,F1_CKDL240007483-1A_22553JLT4_L7.featureCounts
F11_1,F11_1,F11,KidneyM162,F11,R279,Kidney,C_03,M,2,162,2,JC,1,1,F11_CKDL240007483-1A_22553JLT4_L7.featureCounts
F13_1,F13_1,F13,MuscleM162,F13,RNA467,Muscle,C_03,M,2,162,1,EC,1,1,F13_CKDL240007483-1A_22553JLT4_L7.featureCounts
F3_1,F3_1,F3,GutM162,F3,RNA389,Gut,D_05,M,2,162,2,EC,1,1,F3_CKDL240007483-1A_22553JLT4_L7.featureCounts
G1_1,G1_1,G1,GutM162,G1,RNA358,Gut,I_03,M,2,162,1,EC,1,1,G1_CKDL240007483-1A_22553JLT4_L7.featureCounts
H9_1,H9_1,H9,KidneyM162,H9,R249,Kidney,I_03,M,2,162,1,EC,1,1,H9_CKDL240007483-1A_22553JLT4_L7.featureCounts
I18_1,I18_1,I18,SkinM162,I18,R101,Skin,D_05,M,2,162,2,IG,1,1,I18_CKDL240007483-1A_22553JLT4_L7.featureCounts
J18_1,J18_1,J18,SkinM162,J18,R102,Skin,J_04,M,2,162,2,IG,1,1,J18_CKDL240007483-1A_22553JLT4_L7.featureCounts
J21_1,J21_1,J21,GonadM162,J21,141,Testis,J_04,M,2,162,1,EC,1,1,J21_CKDL240007483-1A_22553JLT4_L7.featureCounts
K21_1,K21_1,K21,GonadM162,K21,142,Testis,I_03,M,2,162,1,EC,1,1,K21_CKDL240007483-1A_22553JLT4_L7.featureCounts
K22_1,K22_1,K22,GonadM162,K22,158,Testis,D_05,M,2,162,2,EC,1,1,K22_CKDL240007483-1A_22553JLT4_L7.featureCounts
N14_1,N14_1,N14,MuscleM162,N14,RNA491,Muscle,I_03,M,2,162,2,EC,1,1,N14_CKDL240007483-1A_22553JLT4_L7.featureCounts
N9_1,N9_1,N9,KidneyM162,N9,R255,Kidney,J_04,M,2,162,1,EC,1,1,N9_CKDL240007483-1A_22553JLT4_L7.featureCounts
O14_1,O14_1,O14,MuscleM162,O14,RNA492,Muscle,J_04,M,2,162,2,EC,1,1,O14_CKDL240007483-1A_22553JLT4_L7.featureCounts
P14_1,P14_1,P14,MuscleM162,P14,RNA493,Muscle,D_05,M,2,162,2,EC,1,1,P14_CKDL240007483-1A_22553JLT4_L7.featureCounts
P5_1,P5_1,P5,LiverM162,P5,R16,Liver,C_03,M,2,162,2,IG,1,1,P5_CKDL240007483-1A_22553JLT4_L7.featureCounts
