,lib,sampleNames,condition,plate_well,RNAID,tissue,animalID,sex,cohort,age_days,RNA_batch,RNA_extractor,cDNA_batch,seq_batch,file
J07_2,J07_2,J07,FatF133,J07,RNA558,Fat,J-1B-18,F,1B,133,3,EC,2,2,J7_CKDL240007484-1A_22553JLT4_L6.featureCounts
J11_2,J11_2,J11,SpinalCordF133,J11,RNA448,SpinalCord,J-1B-6,F,1B,133,2,EC,2,2,J11_CKDL240007484-1A_22553JLT4_L6.featureCounts
K10_2,K10_2,K10,SpinalCordM133,K10,RNA433,SpinalCord,P_1A_6,M,1A,133,2,JC,2,2,K10_CKDL240007484-1A_22553JLT4_L6.featureCounts
K11_2,K11_2,K11,SpinalCordF133,K11,RNA449,SpinalCord,J-1B-18,F,1B,133,2,EC,2,2,K11_CKDL240007484-1A_22553JLT4_L6.featureCounts
K18_2,K18_2,K18,SpleenM133,K18,RNA323,Spleen,P_1B_10,M,1B,133,1,JC,2,2,K18_CKDL240007484-1A_22553JLT4_L6.featureCounts
K23_2,K23_2,K23,BrainM133,K23,R65,Brain,P_1A_6,M,1A,133,2,IG,2,2,K23_CKDL240007484-1A_22553JLT4_L6.featureCounts
L14_2,L14_2,L14,HeartM133,L14,R214,Heart,P_1B_10,M,1B,133,1,JC,2,2,L14_CKDL240007484-1A_22553JLT4_L6.featureCounts
L17_2,L17_2,L17,SpleenM133,L17,RNA308,Spleen,P_1A_6,M,1A,133,1,EC,2,2,L17_CKDL240007484-1A_22553JLT4_L6.featureCounts
M14_2,M14_2,M14,HeartF133,M14,R215,Heart,J-1B-6,F,1B,133,1,JC,2,2,M14_CKDL240007484-1A_22553JLT4_L6.featureCounts
M23_2,M23_2,M23,BrainM133,M23,R67,Brain,P_1B_10,M,1B,133,2,IG,2,2,M23_CKDL240007484-1A_22553JLT4_L6.featureCounts
N16_2,N16_2,N16,EyeM133,N16,656,Eye,P_1A_4,M,1A,133,NA,MRW,2,2,N16_CKDL240007484-1A_22553JLT4_L6.featureCounts
O05_2,O05_2,O05,FatM133,O05,RNA531,Fat,P_1B_10,M,1B,133,1,EC,2,2,O5_CKDL240007484-1A_22553JLT4_L6.featureCounts
O14_2,O14_2,O14,HeartM133,O14,R217,Heart,P_1A_4,M,1A,133,1,JC,2,2,O14_CKDL240007484-1A_22553JLT4_L6.featureCounts
O15_2,O15_2,O15,HeartM133,O15,R233,Heart,P_1A_6,M,1A,133,2,EC,2,2,O15_CKDL240007484-1A_22553JLT4_L6.featureCounts
O17_2,O17_2,O17,SpleenM133,O17,RNA311,Spleen,P_1B_2,M,1B,133,1,EC,2,2,O17_CKDL240007484-1A_22553JLT4_L6.featureCounts
P13_2,P13_2,P13,HeartM133,P13,R202,Heart,P_1B_2,M,1B,133,1,JC,2,2,P13_CKDL240007484-1A_22553JLT4_L6.featureCounts
P17_2,P17_2,P17,SpleenF133,P17,RNA312,Spleen,J-1B-6,F,1B,133,1,EC,2,2,P17_CKDL240007484-1A_22553JLT4_L6.featureCounts
P23_2,P23_2,P23,BrainF133,P23,R70,Brain,J-1B-6,F,1B,133,2,IG,2,2,P23_CKDL240007484-1A_22553JLT4_L6.featureCounts
A10_1,A10_1,A10,KidneyM133,A10,R258,Kidney,P_1B_10,M,1B,133,1,JC,1,1,A10_CKDL240007483-1A_22553JLT4_L7.featureCounts
A2_1,A2_1,A2,GutM133,A2,RNA368,Gut,P_1B_2,M,1B,133,1,EC,1,1,A2_CKDL240007483-1A_22553JLT4_L7.featureCounts
A7_1,A7_1,A7,LiverF133,A7,RNA674,Liver,J_1B_18,F,1B,133,1,EC,1,1,A7_CKDL240007483-1A_22553JLT4_L7.featureCounts
A8_1,A8_1,A8,LiverM133,A8,RNA690,Liver,P_1A_6,M,1A,133,1,IG,1,1,A8_CKDL240007483-1A_22553JLT4_L7.featureCounts
B16_1,B16_1,B16,MuscleM133,B16,RNA511,Muscle,P_1A_4,M,1A,133,3,EC,1,1,B16_CKDL240007483-1A_22553JLT4_L7.featureCounts
B7_1,B7_1,B7,LiverM133,B7,RNA675,Liver,P_1B_10,M,1B,133,1,EC,1,1,B7_CKDL240007483-1A_22553JLT4_L7.featureCounts
B8_1,B8_1,B8,LiverF133,B8,RNA691,Liver,J_1B_6,F,1B,133,1,IG,1,1,B8_CKDL240007483-1A_22553JLT4_L7.featureCounts
C10_1,C10_1,C10,KidneyM133,C10,R260,Kidney,P_1A_4,M,1A,133,1,JC,1,1,C10_CKDL240007483-1A_22553JLT4_L7.featureCounts
C19_1,C19_1,C19,SkinF133,C19,R111,Skin,J-1B-6,F,1B,133,2,IG,1,1,C19_CKDL240007483-1A_22553JLT4_L7.featureCounts
C2_1,C2_1,C2,GutM133,C2,RNA370,Gut,P_1A_4,M,1A,133,1,JC,1,1,C2_CKDL240007483-1A_22553JLT4_L7.featureCounts
C4_1,C4_1,C4,GutM133,C4,RNA402,Gut,P_1A_6,M,1A,133,2,EC,1,1,C4_CKDL240007483-1A_22553JLT4_L7.featureCounts
C8_1,C8_1,C8,LiverM133,C8,RNA692,Liver,P_1B_2,M,1B,133,1,IG,1,1,C8_CKDL240007483-1A_22553JLT4_L7.featureCounts
D10_1,D10_1,D10,KidneyM133,D10,R261,Kidney,P_1B_2,M,1B,133,1,JC,1,1,D10_CKDL240007483-1A_22553JLT4_L7.featureCounts
L22_1,L22_1,L22,GonadM78,L22,159,Testis,A17,M,2,78,2,EC,1,1,L22_CKDL240007483-1A_22553JLT4_L7.featureCounts
H21_1,H21_1,H21,GonadM102,H21,139,Testis,E04,M,2,102,1,EC,1,1,H21_CKDL240007483-1A_22553JLT4_L7.featureCounts
F15_1,F15_1,F15,MuscleM133,F15,RNA499,Muscle,P_1B_10,M,1B,133,3,EC,1,1,F15_CKDL240007483-1A_22553JLT4_L7.featureCounts
G18_1,G18_1,G18,SkinM133,G18,R99,Skin,P_1A_6,M,1A,133,1,IG,1,1,G18_CKDL240007483-1A_22553JLT4_L7.featureCounts
G3_1,G3_1,G3,GutF133,G3,RNA390,Gut,J-1B-6,F,1B,133,2,EC,1,1,G3_CKDL240007483-1A_22553JLT4_L7.featureCounts
H14_1,H14_1,H14,MuscleM133,H14,RNA485,Muscle,P_1A_6,M,1A,133,2,EC,1,1,H14_CKDL240007483-1A_22553JLT4_L7.featureCounts
I10_1,I10_1,I10,KidneyF133,I10,R266,Kidney,J-1B-18,F,1B,133,1,JC,1,1,I10_CKDL240007483-1A_22553JLT4_L7.featureCounts
