Sample	Unique Reads	Duplicate Reads
B22_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6188953.0	3395980.0
B23_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5967884.0	2752719.0
B23_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5889748.0	2830855.0
B24_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6718436.0	3597603.0
B24_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6557973.0	3758066.0
B2_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5429689.0	5237203.0
B2_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5385597.0	5281295.0
B3_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5652084.0	5283368.0
B3_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5565393.0	5370059.0
B4_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5622106.0	5017042.0
B4_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5549945.0	5089203.0
B5_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3812970.0	7462551.0
B5_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3704814.0	7570707.0
B6_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3017794.0	6038411.0
B6_CKDL240007483-1A_225CVMLT4_L2_2_val_2	2966666.0	6089539.0
B7_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4938698.0	6267953.0
B7_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4802932.0	6403719.0
B8_CKDL240007483-1A_225CVMLT4_L2_1_val_1	2840415.0	6057955.0
B8_CKDL240007483-1A_225CVMLT4_L2_2_val_2	2727005.0	6171365.0
B9_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6559670.0	4495649.0
B9_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6423493.0	4631826.0
C10_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3991886.0	2157703.0
C10_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3944990.0	2204599.0
C11_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5412361.0	3670969.0
C11_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5356391.0	3726939.0
C12_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6215954.0	4840377.0
C12_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6144913.0	4911418.0
C13_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4118902.0	6539322.0
C13_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4059771.0	6598453.0
C14_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5051073.0	10188801.0
C14_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4868823.0	10371051.0
C15_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3691035.0	5627920.0
C15_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3594753.0	5724202.0
C16_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3755844.0	5680248.0
C16_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3716888.0	5719204.0
C17_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4764120.0	3615972.0
C17_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4710615.0	3669477.0
C18_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6364284.0	4454622.0
