Sample	Unassigned_Read_Type	Unassigned_Duplicate	Unassigned_Singleton	Unassigned_NoFeatures	Assigned	Unassigned_Unmapped	percent_assigned	Unassigned_Ambiguity	Total	Unassigned_NonSplit	Unassigned_Overlapping_Length	Unassigned_MappingQuality	Unassigned_FragmentLength	Unassigned_MultiMapping	Unassigned_Chimera	Unassigned_Secondary
B24_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	6338029	11733909	0	64.7163137778317	59362	18131300	0	0	0	0	0	0	0
B2_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3770511	12928805	0	77.05259859323398	79878	16779194	0	0	0	0	0	0	0
B4_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	1958234	12631655	0	86.14641006811154	73119	14663008	0	0	0	0	0	0	0
B5_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	1597311	11136230	0	87.30357395544208	22214	12755755	0	0	0	0	0	0	0
B6_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2234713	7777357	0	77.55455593404227	16170	10028240	0	0	0	0	0	0	0
B7_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4453325	9072840	0	66.88186499385094	39306	13565471	0	0	0	0	0	0	0
B8_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3571052	4788125	0	57.13889352967851	20623	8379800	0	0	0	0	0	0	0
B9_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3685620	11537074	0	75.25376866525444	108198	15330892	0	0	0	0	0	0	0
C10_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4265959	12826750	0	74.57225926489866	107722	17200431	0	0	0	0	0	0	0
C11_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3467674	9992763	0	73.69475223838462	99230	13559667	0	0	0	0	0	0	0
C12_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3740849	11706243	0	75.2928535984458	100523	15547615	0	0	0	0	0	0	0
C13_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5425339	9032034	0	62.291535010890286	42244	14499617	0	0	0	0	0	0	0
C14_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	6537534	10584418	0	61.640734203933555	49190	17171142	0	0	0	0	0	0	0
C15_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5554159	12360020	0	68.7651195392878	60079	17974258	0	0	0	0	0	0	0
C16_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4998763	11486670	0	69.45396681701652	53104	16538537	0	0	0	0	0	0	0
C17_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3949225	15278714	0	79.13594301235293	78982	19306921	0	0	0	0	0	0	0
C18_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4084838	10932982	0	72.51485966763028	59065	15076885	0	0	0	0	0	0	0
C19_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3823073	16087552	0	80.4675571364076	81969	19992594	0	0	0	0	0	0	0
C1_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4289366	8996431	0	67.39162124667028	63683	13349480	0	0	0	0	0	0	0
C20_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	1948521	9869263	0	83.24059509240227	38526	11856310	0	0	0	0	0	0	0
C21_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5459489	11156361	0	66.8945400567566	61686	16677536	0	0	0	0	0	0	0
C22_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	7045136	10131360	0	58.795601750817525	54997	17231493	0	0	0	0	0	0	0
C23_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5910256	9922582	0	62.43250769790076	60456	15893294	0	0	0	0	0	0	0
C24_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4636525	11352766	0	70.74222920817606	58784	16048075	0	0	0	0	0	0	0
C2_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4001644	12750098	0	75.80053068286776	68850	16820592	0	0	0	0	0	0	0
C3_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4041151	13066670	0	76.03099014609526	78158	17185979	0	0	0	0	0	0	0
C4_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2963210	7102423	0	70.26808914631434	41975	10107608	0	0	0	0	0	0	0
C5_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	1591140	7595910	0	82.542508917761	15372	9202422	0	0	0	0	0	0	0
C6_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	1442349	8085917	0	84.70841348815668	17323	9545589	0	0	0	0	0	0	0
C7_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3654936	9808219	0	72.73957617980395	20865	13484020	0	0	0	0	0	0	0
C8_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	588578	10438179	0	94.54563981609296	13603	11040360	0	0	0	0	0	0	0
