Sample	Unique Reads	Duplicate Reads
A10_CKDL240007484-1A_22553JLT4_L6_1_val_1	5390172.0	3681669.0
A10_CKDL240007484-1A_22553JLT4_L6_2_val_2	5323970.0	3747871.0
A11_CKDL240007484-1A_22553JLT4_L6_1_val_1	7414641.0	5924323.0
A11_CKDL240007484-1A_22553JLT4_L6_2_val_2	7328169.0	6010795.0
A12_CKDL240007484-1A_22553JLT4_L6_1_val_1	5365027.0	3471533.0
A12_CKDL240007484-1A_22553JLT4_L6_2_val_2	5291653.0	3544907.0
A13_CKDL240007484-1A_22553JLT4_L6_1_val_1	4984871.0	4306976.0
A13_CKDL240007484-1A_22553JLT4_L6_2_val_2	4948721.0	4343126.0
A14_CKDL240007484-1A_22553JLT4_L6_1_val_1	4625879.0	4024425.0
A14_CKDL240007484-1A_22553JLT4_L6_2_val_2	4538871.0	4111433.0
A15_CKDL240007484-1A_22553JLT4_L6_1_val_1	5133384.0	4862647.0
A15_CKDL240007484-1A_22553JLT4_L6_2_val_2	5091824.0	4904207.0
A17_CKDL240007484-1A_22553JLT4_L6_1_val_1	5196274.0	3885631.0
A17_CKDL240007484-1A_22553JLT4_L6_2_val_2	5129314.0	3952591.0
A18_CKDL240007484-1A_22553JLT4_L6_1_val_1	5861472.0	4110430.0
A18_CKDL240007484-1A_22553JLT4_L6_2_val_2	5764448.0	4207454.0
A19_CKDL240007484-1A_22553JLT4_L6_1_val_1	3196202.0	1470622.0
A19_CKDL240007484-1A_22553JLT4_L6_2_val_2	3177069.0	1489755.0
A1_CKDL240007484-1A_22553JLT4_L6_1_val_1	6079805.0	6519273.0
A1_CKDL240007484-1A_22553JLT4_L6_2_val_2	5989519.0	6609559.0
A20_CKDL240007484-1A_22553JLT4_L6_1_val_1	4238456.0	3104890.0
A20_CKDL240007484-1A_22553JLT4_L6_2_val_2	4215969.0	3127377.0
A21_CKDL240007484-1A_22553JLT4_L6_1_val_1	6450961.0	3452102.0
A21_CKDL240007484-1A_22553JLT4_L6_2_val_2	6374622.0	3528441.0
A22_CKDL240007484-1A_22553JLT4_L6_1_val_1	6540575.0	3570693.0
A22_CKDL240007484-1A_22553JLT4_L6_2_val_2	6472044.0	3639224.0
A23_CKDL240007484-1A_22553JLT4_L6_1_val_1	6552376.0	3056951.0
A23_CKDL240007484-1A_22553JLT4_L6_2_val_2	6474778.0	3134549.0
A24_CKDL240007484-1A_22553JLT4_L6_1_val_1	5941673.0	3526162.0
A24_CKDL240007484-1A_22553JLT4_L6_2_val_2	5887248.0	3580587.0
A2_CKDL240007484-1A_22553JLT4_L6_1_val_1	4206587.0	4231918.0
A2_CKDL240007484-1A_22553JLT4_L6_2_val_2	4138944.0	4299561.0
A3_CKDL240007484-1A_22553JLT4_L6_1_val_1	4492737.0	3794946.0
