Sample	Unassigned_Duplicate	Unassigned_Read_Type	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_FragmentLength	Assigned	Unassigned_NonSplit	Unassigned_MappingQuality	Unassigned_Singleton	Unassigned_Chimera	Unassigned_Unmapped	Unassigned_NoFeatures	Unassigned_Overlapping_Length	percent_assigned	Total	Unassigned_Ambiguity
B24_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	15054148	0	0	0	0	0	2344372	0	86.16728710052219	17470839	72319
B2_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	15101906	0	0	0	0	0	3326363	0	81.65753830782705	18494197	65928
B3_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	16019217	0	0	0	0	0	2697658	0	85.28708786740393	18782699	65824
B4_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	15326350	0	0	0	0	0	3091223	0	82.91155401245754	18485180	67607
B5_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	16679384	0	0	0	0	0	1408633	0	91.89340236097634	18150796	62779
B6_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13511276	0	0	0	0	0	997684	0	92.83229879640653	14554499	45539
B7_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	16229131	0	0	0	0	0	2604037	0	85.86159449127376	18901502	68334
B8_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13376012	0	0	0	0	0	792554	0	94.11173859249745	14212905	44339
B9_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14273325	0	0	0	0	0	4225823	0	76.79385400601059	18586546	87398
C10_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	8679785	0	0	0	0	0	1718732	0	83.09689701990679	10445378	46861
C11_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	11608776	0	0	0	0	0	3590131	0	75.99375751180287	15275960	77053
C12_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13681413	0	0	0	0	0	4425593	0	75.18831408498787	18196196	89190
C13_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	12790556	0	0	0	0	0	4560579	0	73.3703484704869	17432868	81733
C14_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	22113689	0	0	0	0	0	3272386	0	86.76881706000795	25485756	99681
C15_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13115181	0	0	0	0	0	2367859	0	84.2983654312954	15558049	75009
C16_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13893874	0	0	0	0	0	2215151	0	85.91901685095353	16170895	61870
C17_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	10233248	0	0	0	0	0	3236015	0	75.44418132145248	13563999	94736
C18_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	15004913	0	0	0	0	0	3596558	0	80.14440604825911	18722346	120875
C19_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	10574133	0	0	0	0	0	4473931	0	69.77534324530185	15154541	106477
C1_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	21476580	0	0	0	0	0	3915175	0	84.26903335560462	25485732	93977
C20_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	5874088	0	0	0	0	0	3638246	0	61.29249259602164	9583699	71365
C21_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	10760671	0	0	0	0	0	1945319	0	84.20390252926177	12779302	73312
C23_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13278766	0	0	0	0	0	2152735	0	85.67192873239635	15499553	68052
C24_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	12544500	0	0	0	0	0	2163520	0	84.82463624704893	14788746	80726
