Sample	Unique Reads	Duplicate Reads
C6_ME_1_val_1	4270662.0	11298430.0
C6_ME_2_val_2	4115287.0	11453805.0
C7_ME_1_val_1	6460079.0	15163855.0
C7_ME_2_val_2	6263984.0	15359950.0
C8_ME_1_val_1	3667976.0	14677574.0
C8_ME_2_val_2	3518785.0	14826765.0
C9_ME_1_val_1	15588086.0	13964599.0
C9_ME_2_val_2	15288052.0	14264633.0
D10_ME_1_val_1	8448027.0	6003505.0
D10_ME_2_val_2	8259257.0	6192275.0
D11_ME_1_val_1	10700657.0	9112601.0
D11_ME_2_val_2	10258055.0	9555203.0
D12_ME_1_val_1	7016464.0	4964687.0
D12_ME_2_val_2	6914517.0	5066634.0
D13_ME_1_val_1	7805295.0	11154667.0
D13_ME_2_val_2	7597425.0	11362537.0
D14_ME_1_val_1	9963717.0	11231975.0
D14_ME_2_val_2	9534039.0	11661653.0
D15_ME_1_val_1	8134884.0	8954487.0
D15_ME_2_val_2	7772658.0	9316713.0
D16_ME_1_val_1	8648789.0	7227783.0
D16_ME_2_val_2	8438002.0	7438570.0
D17_ME_1_val_1	9370774.0	7192580.0
D17_ME_2_val_2	9206928.0	7356426.0
D18_ME_1_val_1	12419323.0	11678197.0
D18_ME_2_val_2	12051156.0	12046364.0
D19_ME_1_val_1	9746621.0	7535666.0
D19_ME_2_val_2	9509617.0	7772670.0
D1_ME_1_val_1	10106706.0	7745365.0
D1_ME_2_val_2	9829452.0	8022619.0
D20_ME_1_val_1	7014200.0	4506278.0
D20_ME_2_val_2	6904978.0	4615500.0
D21_ME_1_val_1	13661552.0	9262726.0
D21_ME_2_val_2	13542772.0	9381506.0
D23_ME_1_val_1	13786879.0	8065511.0
D23_ME_2_val_2	13315854.0	8536536.0
D24_ME_1_val_1	12063688.0	8610557.0
D24_ME_2_val_2	11802210.0	8872035.0
D2_ME_1_val_1	7808995.0	8810631.0
D2_ME_2_val_2	7673713.0	8945913.0
D3_ME_1_val_1	3280429.0	3636559.0
D3_ME_2_val_2	3205210.0	3711778.0
D4_ME_1_val_1	7864743.0	9335478.0
D4_ME_2_val_2	7457978.0	9742243.0
D5_ME_1_val_1	6186926.0	11936904.0
D5_ME_2_val_2	6099157.0	12024673.0
D6_ME_1_val_1	5896668.0	13460384.0
D6_ME_2_val_2	5661407.0	13695645.0
D7_ME_1_val_1	6101121.0	14455789.0
D7_ME_2_val_2	5946332.0	14610578.0
D8_ME_1_val_1	6247294.0	9702492.0
D8_ME_2_val_2	6082549.0	9867237.0
D9_ME_1_val_1	9119067.0	7896993.0
D9_ME_2_val_2	8932068.0	8083992.0
E10_ME_1_val_1	11049196.0	8564342.0
E10_ME_2_val_2	10803443.0	8810095.0
E11_ME_1_val_1	12873740.0	9253455.0
E11_ME_2_val_2	12265843.0	9861352.0
E12_ME_1_val_1	11253495.0	8980671.0
E12_ME_2_val_2	11092707.0	9141459.0
E13_ME_1_val_1	6950059.0	8926248.0
E13_ME_2_val_2	6748200.0	9128107.0
E14_ME_1_val_1	7968358.0	7730723.0
E14_ME_2_val_2	7756089.0	7942992.0
E15_ME_1_val_1	9103889.0	9390231.0
E15_ME_2_val_2	8815773.0	9678347.0
E16_ME_1_val_1	7965918.0	8362157.0
E16_ME_2_val_2	7769908.0	8558167.0
E17_ME_1_val_1	9681047.0	8094659.0
E17_ME_2_val_2	9392917.0	8382789.0
E18_ME_1_val_1	8733833.0	6517148.0
E18_ME_2_val_2	8513073.0	6737908.0
E19_ME_1_val_1	10238055.0	8270433.0
E19_ME_2_val_2	10007940.0	8500548.0
E1_ME_1_val_1	5958923.0	6676655.0
E1_ME_2_val_2	5761096.0	6874482.0
E20_ME_1_val_1	7610748.0	5357293.0
E20_ME_2_val_2	7377307.0	5590734.0
E21_ME_1_val_1	14554977.0	9380937.0
E21_ME_2_val_2	14326256.0	9609658.0
E22_ME_1_val_1	11631436.0	7564896.0
E22_ME_2_val_2	11457618.0	7738714.0
E23_ME_1_val_1	9645376.0	5398076.0
E23_ME_2_val_2	9500630.0	5542822.0
E24_ME_1_val_1	10712980.0	7272196.0
E24_ME_2_val_2	10519719.0	7465457.0
E2_ME_1_val_1	8562649.0	6178448.0
E2_ME_2_val_2	8383216.0	6357881.0
E3_ME_1_val_1	8179132.0	8830249.0
E3_ME_2_val_2	7826634.0	9182747.0
E4_ME_1_val_1	9094029.0	6629667.0
E4_ME_2_val_2	8913949.0	6809747.0
E5_ME_1_val_1	5899518.0	13415963.0
E5_ME_2_val_2	5645736.0	13669745.0
E6_ME_1_val_1	5973206.0	11653520.0
E6_ME_2_val_2	5869273.0	11757453.0
E7_ME_1_val_1	5272786.0	9214620.0
E7_ME_2_val_2	5132111.0	9355295.0
E8_ME_1_val_1	5471620.0	9569749.0
E8_ME_2_val_2	5286539.0	9754830.0
E9_ME_1_val_1	12922663.0	8954329.0
E9_ME_2_val_2	12662908.0	9214084.0
F10_ME_1_val_1	9938836.0	8265065.0
F10_ME_2_val_2	9690073.0	8513828.0
F11_ME_1_val_1	9997479.0	7997667.0
F11_ME_2_val_2	9859812.0	8135334.0
F12_ME_1_val_1	7795779.0	5383810.0
F12_ME_2_val_2	7619972.0	5559617.0
F13_ME_1_val_1	8857155.0	10111425.0
F13_ME_2_val_2	8427203.0	10541377.0
F14_ME_1_val_1	7843879.0	7319394.0
F14_ME_2_val_2	7676687.0	7486586.0
F15_ME_1_val_1	7442075.0	9006916.0
F15_ME_2_val_2	7298827.0	9150164.0
F16_ME_1_val_1	7149747.0	7223199.0
F16_ME_2_val_2	6986941.0	7386005.0
F17_ME_1_val_1	11228632.0	9254950.0
F17_ME_2_val_2	10806792.0	9676790.0
F18_ME_1_val_1	9968529.0	7232704.0
F18_ME_2_val_2	9727051.0	7474182.0
F19_ME_1_val_1	8637269.0	8789468.0
F19_ME_2_val_2	8428127.0	8998610.0
F1_ME_1_val_1	4989607.0	4522085.0
F1_ME_2_val_2	4783481.0	4728211.0
F20_ME_1_val_1	8544670.0	5589790.0
F20_ME_2_val_2	8331734.0	5802726.0
F21_ME_1_val_1	10165538.0	6491684.0
F21_ME_2_val_2	9820342.0	6836880.0
F22_ME_1_val_1	12269188.0	7179780.0
F22_ME_2_val_2	12020131.0	7428837.0
F23_ME_1_val_1	12105440.0	7507265.0
F23_ME_2_val_2	11911581.0	7701124.0
