Sample	Duplicate Reads	Unique Reads
H15_CKDL240007483-1A_22553JLT4_L7_1_val_1	5396500.0	3015122.0
H15_CKDL240007483-1A_22553JLT4_L7_2_val_2	5526986.0	2884636.0
H17_CKDL240007483-1A_22553JLT4_L7_1_val_1	4260883.0	5546805.0
H17_CKDL240007483-1A_22553JLT4_L7_2_val_2	4393127.0	5414561.0
H18_CKDL240007483-1A_22553JLT4_L7_1_val_1	4196304.0	5788216.0
H18_CKDL240007483-1A_22553JLT4_L7_2_val_2	4362290.0	5622230.0
H19_CKDL240007483-1A_22553JLT4_L7_1_val_1	5958662.0	3438401.0
H19_CKDL240007483-1A_22553JLT4_L7_2_val_2	6118896.0	3278167.0
H1_CKDL240007483-1A_22553JLT4_L7_1_val_1	5379067.0	5606145.0
H1_CKDL240007483-1A_22553JLT4_L7_2_val_2	5567826.0	5417386.0
H21_CKDL240007483-1A_22553JLT4_L7_1_val_1	4209381.0	7246505.0
H21_CKDL240007483-1A_22553JLT4_L7_2_val_2	4369463.0	7086423.0
H23_CKDL240007483-1A_22553JLT4_L7_1_val_1	7202391.0	10325206.0
H23_CKDL240007483-1A_22553JLT4_L7_2_val_2	7394560.0	10133037.0
H2_CKDL240007483-1A_22553JLT4_L7_1_val_1	3703407.0	4287699.0
H2_CKDL240007483-1A_22553JLT4_L7_2_val_2	3840381.0	4150725.0
H3_CKDL240007483-1A_22553JLT4_L7_1_val_1	4158180.0	4991626.0
H3_CKDL240007483-1A_22553JLT4_L7_2_val_2	4294254.0	4855552.0
H5_CKDL240007483-1A_22553JLT4_L7_1_val_1	5618433.0	4039326.0
H5_CKDL240007483-1A_22553JLT4_L7_2_val_2	5797994.0	3859765.0
H6_CKDL240007483-1A_22553JLT4_L7_1_val_1	5945949.0	4757911.0
H6_CKDL240007483-1A_22553JLT4_L7_2_val_2	6152233.0	4551627.0
H7_CKDL240007483-1A_22553JLT4_L7_1_val_1	4926679.0	4152851.0
H7_CKDL240007483-1A_22553JLT4_L7_2_val_2	5071426.0	4008104.0
H9_CKDL240007483-1A_22553JLT4_L7_1_val_1	3993252.0	6392265.0
H9_CKDL240007483-1A_22553JLT4_L7_2_val_2	4268729.0	6116788.0
I10_CKDL240007483-1A_22553JLT4_L7_1_val_1	3892974.0	5506424.0
I10_CKDL240007483-1A_22553JLT4_L7_2_val_2	4035723.0	5363675.0
I11_CKDL240007483-1A_22553JLT4_L7_1_val_1	3872704.0	5383249.0
I11_CKDL240007483-1A_22553JLT4_L7_2_val_2	3977367.0	5278586.0
I13_CKDL240007483-1A_22553JLT4_L7_1_val_1	5991697.0	3318422.0
I13_CKDL240007483-1A_22553JLT4_L7_2_val_2	6124039.0	3186080.0
I14_CKDL240007483-1A_22553JLT4_L7_1_val_1	5689946.0	4337699.0
I14_CKDL240007483-1A_22553JLT4_L7_2_val_2	5851673.0	4175972.0
I15_CKDL240007483-1A_22553JLT4_L7_1_val_1	5025489.0	3433025.0
I15_CKDL240007483-1A_22553JLT4_L7_2_val_2	5161445.0	3297069.0
I17_CKDL240007483-1A_22553JLT4_L7_1_val_1	3205499.0	4638681.0
I17_CKDL240007483-1A_22553JLT4_L7_2_val_2	3313431.0	4530749.0
I18_CKDL240007483-1A_22553JLT4_L7_1_val_1	4323737.0	5349399.0
I18_CKDL240007483-1A_22553JLT4_L7_2_val_2	4472444.0	5200692.0
I19_CKDL240007483-1A_22553JLT4_L7_1_val_1	4446949.0	5853564.0
I19_CKDL240007483-1A_22553JLT4_L7_2_val_2	4685156.0	5615357.0
I1_CKDL240007483-1A_22553JLT4_L7_1_val_1	4168419.0	4565392.0
I1_CKDL240007483-1A_22553JLT4_L7_2_val_2	4280538.0	4453273.0
I21_CKDL240007483-1A_22553JLT4_L7_1_val_1	4632280.0	6837649.0
I21_CKDL240007483-1A_22553JLT4_L7_2_val_2	4796143.0	6673786.0
I22_CKDL240007483-1A_22553JLT4_L7_1_val_1	5338263.0	7959068.0
I22_CKDL240007483-1A_22553JLT4_L7_2_val_2	5504471.0	7792860.0
I23_CKDL240007483-1A_22553JLT4_L7_1_val_1	6116785.0	9877097.0
I23_CKDL240007483-1A_22553JLT4_L7_2_val_2	6415959.0	9577923.0
I2_CKDL240007483-1A_22553JLT4_L7_1_val_1	2982664.0	3798474.0
I2_CKDL240007483-1A_22553JLT4_L7_2_val_2	3057710.0	3723428.0
I3_CKDL240007483-1A_22553JLT4_L7_1_val_1	4370579.0	4590004.0
I3_CKDL240007483-1A_22553JLT4_L7_2_val_2	4524150.0	4436433.0
I5_CKDL240007483-1A_22553JLT4_L7_1_val_1	7044375.0	3046530.0
I5_CKDL240007483-1A_22553JLT4_L7_2_val_2	7217641.0	2873264.0
I6_CKDL240007483-1A_22553JLT4_L7_1_val_1	9558939.0	4936749.0
I6_CKDL240007483-1A_22553JLT4_L7_2_val_2	9857600.0	4638088.0
I7_CKDL240007483-1A_22553JLT4_L7_1_val_1	5309182.0	3345345.0
I7_CKDL240007483-1A_22553JLT4_L7_2_val_2	5473320.0	3181207.0
I9_CKDL240007483-1A_22553JLT4_L7_1_val_1	3760554.0	5669649.0
I9_CKDL240007483-1A_22553JLT4_L7_2_val_2	3921530.0	5508673.0
J10_CKDL240007483-1A_22553JLT4_L7_1_val_1	3812381.0	5067515.0
J10_CKDL240007483-1A_22553JLT4_L7_2_val_2	3920321.0	4959575.0
J11_CKDL240007483-1A_22553JLT4_L7_1_val_1	3000955.0	4894943.0
J11_CKDL240007483-1A_22553JLT4_L7_2_val_2	3092470.0	4803428.0
J13_CKDL240007483-1A_22553JLT4_L7_1_val_1	5763750.0	3841514.0
J13_CKDL240007483-1A_22553JLT4_L7_2_val_2	5904260.0	3701004.0
J14_CKDL240007483-1A_22553JLT4_L7_1_val_1	5155692.0	3900525.0
J14_CKDL240007483-1A_22553JLT4_L7_2_val_2	5283092.0	3773125.0
J15_CKDL240007483-1A_22553JLT4_L7_1_val_1	3846812.0	2930269.0
J15_CKDL240007483-1A_22553JLT4_L7_2_val_2	3970876.0	2806205.0
J17_CKDL240007483-1A_22553JLT4_L7_1_val_1	3963548.0	4828559.0
J17_CKDL240007483-1A_22553JLT4_L7_2_val_2	4075963.0	4716144.0
J18_CKDL240007483-1A_22553JLT4_L7_1_val_1	3212737.0	4264086.0
J18_CKDL240007483-1A_22553JLT4_L7_2_val_2	3341437.0	4135386.0
J19_CKDL240007483-1A_22553JLT4_L7_1_val_1	3944383.0	4911308.0
J19_CKDL240007483-1A_22553JLT4_L7_2_val_2	4095908.0	4759783.0
J1_CKDL240007483-1A_22553JLT4_L7_1_val_1	4462674.0	4454141.0
J1_CKDL240007483-1A_22553JLT4_L7_2_val_2	4610750.0	4306065.0
J21_CKDL240007483-1A_22553JLT4_L7_1_val_1	4143568.0	7307539.0
J21_CKDL240007483-1A_22553JLT4_L7_2_val_2	4318582.0	7132525.0
J22_CKDL240007483-1A_22553JLT4_L7_1_val_1	6191077.0	10175652.0
J22_CKDL240007483-1A_22553JLT4_L7_2_val_2	6431792.0	9934937.0
J23_CKDL240007483-1A_22553JLT4_L7_1_val_1	7173703.0	9144102.0
J23_CKDL240007483-1A_22553JLT4_L7_2_val_2	7394457.0	8923348.0
J2_CKDL240007483-1A_22553JLT4_L7_1_val_1	3643439.0	4165612.0
J2_CKDL240007483-1A_22553JLT4_L7_2_val_2	3764340.0	4044711.0
J3_CKDL240007483-1A_22553JLT4_L7_1_val_1	5446228.0	5427428.0
J3_CKDL240007483-1A_22553JLT4_L7_2_val_2	5607129.0	5266527.0
J5_CKDL240007483-1A_22553JLT4_L7_1_val_1	5809988.0	4311450.0
J5_CKDL240007483-1A_22553JLT4_L7_2_val_2	5990308.0	4131130.0
J6_CKDL240007483-1A_22553JLT4_L7_1_val_1	74.0	1070.0
J6_CKDL240007483-1A_22553JLT4_L7_2_val_2	87.0	1057.0
J7_CKDL240007483-1A_22553JLT4_L7_1_val_1	4656278.0	3847788.0
J7_CKDL240007483-1A_22553JLT4_L7_2_val_2	4809708.0	3694358.0
J9_CKDL240007483-1A_22553JLT4_L7_1_val_1	4031533.0	5184133.0
J9_CKDL240007483-1A_22553JLT4_L7_2_val_2	4162972.0	5052694.0
K10_CKDL240007483-1A_22553JLT4_L7_1_val_1	3911137.0	5219055.0
K10_CKDL240007483-1A_22553JLT4_L7_2_val_2	4076422.0	5053770.0
K11_CKDL240007483-1A_22553JLT4_L7_1_val_1	4289270.0	5660323.0
K11_CKDL240007483-1A_22553JLT4_L7_2_val_2	4400333.0	5549260.0
K13_CKDL240007483-1A_22553JLT4_L7_1_val_1	4701166.0	3166624.0
K13_CKDL240007483-1A_22553JLT4_L7_2_val_2	4834838.0	3032952.0
K14_CKDL240007483-1A_22553JLT4_L7_1_val_1	4491865.0	3146365.0
K14_CKDL240007483-1A_22553JLT4_L7_2_val_2	4598866.0	3039364.0
K15_CKDL240007483-1A_22553JLT4_L7_1_val_1	5137719.0	3515977.0
K15_CKDL240007483-1A_22553JLT4_L7_2_val_2	5238423.0	3415273.0
K17_CKDL240007483-1A_22553JLT4_L7_1_val_1	3487160.0	4881053.0
K17_CKDL240007483-1A_22553JLT4_L7_2_val_2	3596320.0	4771893.0
K18_CKDL240007483-1A_22553JLT4_L7_1_val_1	4268618.0	5887770.0
K18_CKDL240007483-1A_22553JLT4_L7_2_val_2	4408519.0	5747869.0
K19_CKDL240007483-1A_22553JLT4_L7_1_val_1	4517214.0	5527270.0
K19_CKDL240007483-1A_22553JLT4_L7_2_val_2	4710145.0	5334339.0
K1_CKDL240007483-1A_22553JLT4_L7_1_val_1	6300073.0	6112982.0
K1_CKDL240007483-1A_22553JLT4_L7_2_val_2	6517907.0	5895148.0
K21_CKDL240007483-1A_22553JLT4_L7_1_val_1	5141579.0	8914165.0
K21_CKDL240007483-1A_22553JLT4_L7_2_val_2	5385500.0	8670244.0
K22_CKDL240007483-1A_22553JLT4_L7_1_val_1	5594971.0	8861830.0
K22_CKDL240007483-1A_22553JLT4_L7_2_val_2	5816680.0	8640121.0
K23_CKDL240007483-1A_22553JLT4_L7_1_val_1	4969270.0	8697444.0
K23_CKDL240007483-1A_22553JLT4_L7_2_val_2	5143186.0	8523528.0
K2_CKDL240007483-1A_22553JLT4_L7_1_val_1	4318919.0	4562492.0
K2_CKDL240007483-1A_22553JLT4_L7_2_val_2	4459305.0	4422106.0
K3_CKDL240007483-1A_22553JLT4_L7_1_val_1	4750974.0	5144004.0
K3_CKDL240007483-1A_22553JLT4_L7_2_val_2	4868849.0	5026129.0
K5_CKDL240007483-1A_22553JLT4_L7_1_val_1	4531427.0	3622840.0
K5_CKDL240007483-1A_22553JLT4_L7_2_val_2	4657836.0	3496431.0
K6_CKDL240007483-1A_22553JLT4_L7_1_val_1	8125156.0	4155444.0
K6_CKDL240007483-1A_22553JLT4_L7_2_val_2	8316157.0	3964443.0
K7_CKDL240007483-1A_22553JLT4_L7_1_val_1	5796951.0	3268415.0
K7_CKDL240007483-1A_22553JLT4_L7_2_val_2	5967007.0	3098359.0
K9_CKDL240007483-1A_22553JLT4_L7_1_val_1	4288751.0	5747790.0
K9_CKDL240007483-1A_22553JLT4_L7_2_val_2	4495479.0	5541062.0
L10_CKDL240007483-1A_22553JLT4_L7_1_val_1	3909416.0	5416934.0
L10_CKDL240007483-1A_22553JLT4_L7_2_val_2	4045839.0	5280511.0
L11_CKDL240007483-1A_22553JLT4_L7_1_val_1	3773371.0	5281407.0
L11_CKDL240007483-1A_22553JLT4_L7_2_val_2	3960400.0	5094378.0
L13_CKDL240007483-1A_22553JLT4_L7_1_val_1	5217789.0	3402292.0
L13_CKDL240007483-1A_22553JLT4_L7_2_val_2	5344374.0	3275707.0
L14_CKDL240007483-1A_22553JLT4_L7_1_val_1	5767944.0	3225325.0
L14_CKDL240007483-1A_22553JLT4_L7_2_val_2	5943828.0	3049441.0
L15_CKDL240007483-1A_22553JLT4_L7_1_val_1	5268935.0	3009391.0
L15_CKDL240007483-1A_22553JLT4_L7_2_val_2	5363428.0	2914898.0
L17_CKDL240007483-1A_22553JLT4_L7_1_val_1	4322440.0	5728849.0
L17_CKDL240007483-1A_22553JLT4_L7_2_val_2	4460875.0	5590414.0
L18_CKDL240007483-1A_22553JLT4_L7_1_val_1	6465461.0	6407301.0
L18_CKDL240007483-1A_22553JLT4_L7_2_val_2	6608148.0	6264614.0
L19_CKDL240007483-1A_22553JLT4_L7_1_val_1	3838929.0	5138889.0
L19_CKDL240007483-1A_22553JLT4_L7_2_val_2	3968374.0	5009444.0
L1_CKDL240007483-1A_22553JLT4_L7_1_val_1	4823866.0	4668486.0
L1_CKDL240007483-1A_22553JLT4_L7_2_val_2	4964866.0	4527486.0
L21_CKDL240007483-1A_22553JLT4_L7_1_val_1	78466.0	202073.0
L21_CKDL240007483-1A_22553JLT4_L7_2_val_2	82368.0	198171.0
L22_CKDL240007483-1A_22553JLT4_L7_1_val_1	4873200.0	8237264.0
L22_CKDL240007483-1A_22553JLT4_L7_2_val_2	5068115.0	8042349.0
L23_CKDL240007483-1A_22553JLT4_L7_1_val_1	4071198.0	6811588.0
L23_CKDL240007483-1A_22553JLT4_L7_2_val_2	4272209.0	6610577.0
L2_CKDL240007483-1A_22553JLT4_L7_1_val_1	4830178.0	4504583.0
L2_CKDL240007483-1A_22553JLT4_L7_2_val_2	4960362.0	4374399.0
L3_CKDL240007483-1A_22553JLT4_L7_1_val_1	4755099.0	4788363.0
L3_CKDL240007483-1A_22553JLT4_L7_2_val_2	4969076.0	4574386.0
L5_CKDL240007483-1A_22553JLT4_L7_1_val_1	5411496.0	3384249.0
L5_CKDL240007483-1A_22553JLT4_L7_2_val_2	5516307.0	3279438.0
L6_CKDL240007483-1A_22553JLT4_L7_1_val_1	4776704.0	4475316.0
L6_CKDL240007483-1A_22553JLT4_L7_2_val_2	4918659.0	4333361.0
L7_CKDL240007483-1A_22553JLT4_L7_1_val_1	5259271.0	3941030.0
L7_CKDL240007483-1A_22553JLT4_L7_2_val_2	5430833.0	3769468.0
L9_CKDL240007483-1A_22553JLT4_L7_1_val_1	4155471.0	5811339.0
L9_CKDL240007483-1A_22553JLT4_L7_2_val_2	4300560.0	5666250.0
M10_CKDL240007483-1A_22553JLT4_L7_1_val_1	4080624.0	5735154.0
M10_CKDL240007483-1A_22553JLT4_L7_2_val_2	4179862.0	5635916.0
M11_CKDL240007483-1A_22553JLT4_L7_1_val_1	3839228.0	5546683.0
M11_CKDL240007483-1A_22553JLT4_L7_2_val_2	3975437.0	5410474.0
M13_CKDL240007483-1A_22553JLT4_L7_1_val_1	4973342.0	3230495.0
M13_CKDL240007483-1A_22553JLT4_L7_2_val_2	5078774.0	3125063.0
M14_CKDL240007483-1A_22553JLT4_L7_1_val_1	6114635.0	3824056.0
M14_CKDL240007483-1A_22553JLT4_L7_2_val_2	6251117.0	3687574.0
M15_CKDL240007483-1A_22553JLT4_L7_1_val_1	5929290.0	4165162.0
M15_CKDL240007483-1A_22553JLT4_L7_2_val_2	6150201.0	3944251.0
M17_CKDL240007483-1A_22553JLT4_L7_1_val_1	3291947.0	4724347.0
M17_CKDL240007483-1A_22553JLT4_L7_2_val_2	3393261.0	4623033.0
M18_CKDL240007483-1A_22553JLT4_L7_1_val_1	5406044.0	5601269.0
M18_CKDL240007483-1A_22553JLT4_L7_2_val_2	5569347.0	5437966.0
M19_CKDL240007483-1A_22553JLT4_L7_1_val_1	4545224.0	6169032.0
M19_CKDL240007483-1A_22553JLT4_L7_2_val_2	4681435.0	6032821.0
M1_CKDL240007483-1A_22553JLT4_L7_1_val_1	5219233.0	6519939.0
M1_CKDL240007483-1A_22553JLT4_L7_2_val_2	5396591.0	6342581.0
M21_CKDL240007483-1A_22553JLT4_L7_1_val_1	3958370.0	6898281.0
M21_CKDL240007483-1A_22553JLT4_L7_2_val_2	4119328.0	6737323.0
M22_CKDL240007483-1A_22553JLT4_L7_1_val_1	6331693.0	8206736.0
M22_CKDL240007483-1A_22553JLT4_L7_2_val_2	6584198.0	7954231.0
M23_CKDL240007483-1A_22553JLT4_L7_1_val_1	6322571.0	9664465.0
M23_CKDL240007483-1A_22553JLT4_L7_2_val_2	6571436.0	9415600.0
M2_CKDL240007483-1A_22553JLT4_L7_1_val_1	4830211.0	4790285.0
M2_CKDL240007483-1A_22553JLT4_L7_2_val_2	4992267.0	4628229.0
M3_CKDL240007483-1A_22553JLT4_L7_1_val_1	4020593.0	4425421.0
M3_CKDL240007483-1A_22553JLT4_L7_2_val_2	4150892.0	4295122.0
M5_CKDL240007483-1A_22553JLT4_L7_1_val_1	5839180.0	3133831.0
M5_CKDL240007483-1A_22553JLT4_L7_2_val_2	5989470.0	2983541.0
M6_CKDL240007483-1A_22553JLT4_L7_1_val_1	5693817.0	3751316.0
M6_CKDL240007483-1A_22553JLT4_L7_2_val_2	5847792.0	3597341.0
M7_CKDL240007483-1A_22553JLT4_L7_1_val_1	5712893.0	3890323.0
M7_CKDL240007483-1A_22553JLT4_L7_2_val_2	5886551.0	3716665.0
M9_CKDL240007483-1A_22553JLT4_L7_1_val_1	3255276.0	5369755.0
M9_CKDL240007483-1A_22553JLT4_L7_2_val_2	3389314.0	5235717.0
N10_CKDL240007483-1A_22553JLT4_L7_1_val_1	3863917.0	5184621.0
N10_CKDL240007483-1A_22553JLT4_L7_2_val_2	3977272.0	5071266.0
N11_CKDL240007483-1A_22553JLT4_L7_1_val_1	4316608.0	5898041.0
N11_CKDL240007483-1A_22553JLT4_L7_2_val_2	4461513.0	5753136.0
N13_CKDL240007483-1A_22553JLT4_L7_1_val_1	5460026.0	3835832.0
N13_CKDL240007483-1A_22553JLT4_L7_2_val_2	5622132.0	3673726.0
N14_CKDL240007483-1A_22553JLT4_L7_1_val_1	4897128.0	3649561.0
N14_CKDL240007483-1A_22553JLT4_L7_2_val_2	5054171.0	3492518.0
N15_CKDL240007483-1A_22553JLT4_L7_1_val_1	4606477.0	3131943.0
N15_CKDL240007483-1A_22553JLT4_L7_2_val_2	4687696.0	3050724.0
N17_CKDL240007483-1A_22553JLT4_L7_1_val_1	3671245.0	5057530.0
N17_CKDL240007483-1A_22553JLT4_L7_2_val_2	3774113.0	4954662.0
N18_CKDL240007483-1A_22553JLT4_L7_1_val_1	4723757.0	5392593.0
N18_CKDL240007483-1A_22553JLT4_L7_2_val_2	4886159.0	5230191.0
N19_CKDL240007483-1A_22553JLT4_L7_1_val_1	5484616.0	4794446.0
N19_CKDL240007483-1A_22553JLT4_L7_2_val_2	5700139.0	4578923.0
N1_CKDL240007483-1A_22553JLT4_L7_1_val_1	5721262.0	5257514.0
N1_CKDL240007483-1A_22553JLT4_L7_2_val_2	5881476.0	5097300.0
N21_CKDL240007483-1A_22553JLT4_L7_1_val_1	5336418.0	8826369.0
N21_CKDL240007483-1A_22553JLT4_L7_2_val_2	5568874.0	8593913.0
N22_CKDL240007483-1A_22553JLT4_L7_1_val_1	8620223.0	10034900.0
N22_CKDL240007483-1A_22553JLT4_L7_2_val_2	8893202.0	9761921.0
N23_CKDL240007483-1A_22553JLT4_L7_1_val_1	7114412.0	10384964.0
N23_CKDL240007483-1A_22553JLT4_L7_2_val_2	7337071.0	10162305.0
N2_CKDL240007483-1A_22553JLT4_L7_1_val_1	4939404.0	4838354.0
N2_CKDL240007483-1A_22553JLT4_L7_2_val_2	5063616.0	4714142.0
N3_CKDL240007483-1A_22553JLT4_L7_1_val_1	4161422.0	4403751.0
N3_CKDL240007483-1A_22553JLT4_L7_2_val_2	4275793.0	4289380.0
N5_CKDL240007483-1A_22553JLT4_L7_1_val_1	5838736.0	3484862.0
N5_CKDL240007483-1A_22553JLT4_L7_2_val_2	5994380.0	3329218.0
N6_CKDL240007483-1A_22553JLT4_L7_1_val_1	4852733.0	3754733.0
N6_CKDL240007483-1A_22553JLT4_L7_2_val_2	4982157.0	3625309.0
N7_CKDL240007483-1A_22553JLT4_L7_1_val_1	4807583.0	4044784.0
N7_CKDL240007483-1A_22553JLT4_L7_2_val_2	4956521.0	3895846.0
N9_CKDL240007483-1A_22553JLT4_L7_1_val_1	3016338.0	4396372.0
N9_CKDL240007483-1A_22553JLT4_L7_2_val_2	3123403.0	4289307.0
O10_CKDL240007483-1A_22553JLT4_L7_1_val_1	3918907.0	5259668.0
O10_CKDL240007483-1A_22553JLT4_L7_2_val_2	4050892.0	5127683.0
O11_CKDL240007483-1A_22553JLT4_L7_1_val_1	3728431.0	5162821.0
O11_CKDL240007483-1A_22553JLT4_L7_2_val_2	3862131.0	5029121.0
O13_CKDL240007483-1A_22553JLT4_L7_1_val_1	5620000.0	3408163.0
O13_CKDL240007483-1A_22553JLT4_L7_2_val_2	5704628.0	3323535.0
O14_CKDL240007483-1A_22553JLT4_L7_1_val_1	5278711.0	3460490.0
O14_CKDL240007483-1A_22553JLT4_L7_2_val_2	5410717.0	3328484.0
O15_CKDL240007483-1A_22553JLT4_L7_1_val_1	5917871.0	4197004.0
O15_CKDL240007483-1A_22553JLT4_L7_2_val_2	6068196.0	4046679.0
O17_CKDL240007483-1A_22553JLT4_L7_1_val_1	4175940.0	5811055.0
O17_CKDL240007483-1A_22553JLT4_L7_2_val_2	4341261.0	5645734.0
O18_CKDL240007483-1A_22553JLT4_L7_1_val_1	4409276.0	5448436.0
O18_CKDL240007483-1A_22553JLT4_L7_2_val_2	4571269.0	5286443.0
O19_CKDL240007483-1A_22553JLT4_L7_1_val_1	5619381.0	6555655.0
O19_CKDL240007483-1A_22553JLT4_L7_2_val_2	5765768.0	6409268.0
O1_CKDL240007483-1A_22553JLT4_L7_1_val_1	4161525.0	4784018.0
O1_CKDL240007483-1A_22553JLT4_L7_2_val_2	4298069.0	4647474.0
O21_CKDL240007483-1A_22553JLT4_L7_1_val_1	4351743.0	8080145.0
O21_CKDL240007483-1A_22553JLT4_L7_2_val_2	4544163.0	7887725.0
O22_CKDL240007483-1A_22553JLT4_L7_1_val_1	10742941.0	13379531.0
O22_CKDL240007483-1A_22553JLT4_L7_2_val_2	11299737.0	12822735.0
O23_CKDL240007483-1A_22553JLT4_L7_1_val_1	3861709.0	6867548.0
O23_CKDL240007483-1A_22553JLT4_L7_2_val_2	4020568.0	6708689.0
O2_CKDL240007483-1A_22553JLT4_L7_1_val_1	6437327.0	5934455.0
O2_CKDL240007483-1A_22553JLT4_L7_2_val_2	6646000.0	5725782.0
O3_CKDL240007483-1A_22553JLT4_L7_1_val_1	5273849.0	5195576.0
O3_CKDL240007483-1A_22553JLT4_L7_2_val_2	5426761.0	5042664.0
O5_CKDL240007483-1A_22553JLT4_L7_1_val_1	4874165.0	3863643.0
O5_CKDL240007483-1A_22553JLT4_L7_2_val_2	5016340.0	3721468.0
O6_CKDL240007483-1A_22553JLT4_L7_1_val_1	5182824.0	3831877.0
O6_CKDL240007483-1A_22553JLT4_L7_2_val_2	5340710.0	3673991.0
O7_CKDL240007483-1A_22553JLT4_L7_1_val_1	5883086.0	3502686.0
O7_CKDL240007483-1A_22553JLT4_L7_2_val_2	6025678.0	3360094.0
O9_CKDL240007483-1A_22553JLT4_L7_1_val_1	4108644.0	5875332.0
O9_CKDL240007483-1A_22553JLT4_L7_2_val_2	4245784.0	5738192.0
P10_CKDL240007483-1A_22553JLT4_L7_1_val_1	4716167.0	6270410.0
P10_CKDL240007483-1A_22553JLT4_L7_2_val_2	4879460.0	6107117.0
P11_CKDL240007483-1A_22553JLT4_L7_1_val_1	4144866.0	5788396.0
P11_CKDL240007483-1A_22553JLT4_L7_2_val_2	4302323.0	5630939.0
P13_CKDL240007483-1A_22553JLT4_L7_1_val_1	5252614.0	3467267.0
P13_CKDL240007483-1A_22553JLT4_L7_2_val_2	5372611.0	3347270.0
P14_CKDL240007483-1A_22553JLT4_L7_1_val_1	4720527.0	4115648.0
P14_CKDL240007483-1A_22553JLT4_L7_2_val_2	4835524.0	4000651.0
P15_CKDL240007483-1A_22553JLT4_L7_1_val_1	5349972.0	3155343.0
P15_CKDL240007483-1A_22553JLT4_L7_2_val_2	5439627.0	3065688.0
P17_CKDL240007483-1A_22553JLT4_L7_1_val_1	4234397.0	5352374.0
P17_CKDL240007483-1A_22553JLT4_L7_2_val_2	4371572.0	5215199.0
P18_CKDL240007483-1A_22553JLT4_L7_1_val_1	5188942.0	5621672.0
P18_CKDL240007483-1A_22553JLT4_L7_2_val_2	5342312.0	5468302.0
P19_CKDL240007483-1A_22553JLT4_L7_1_val_1	4800734.0	6117171.0
P19_CKDL240007483-1A_22553JLT4_L7_2_val_2	4957953.0	5959952.0
P1_CKDL240007483-1A_22553JLT4_L7_1_val_1	9583359.0	8732047.0
P1_CKDL240007483-1A_22553JLT4_L7_2_val_2	10097415.0	8217991.0
P21_CKDL240007483-1A_22553JLT4_L7_1_val_1	4558099.0	7673520.0
P21_CKDL240007483-1A_22553JLT4_L7_2_val_2	4695306.0	7536313.0
P22_CKDL240007483-1A_22553JLT4_L7_1_val_1	3715433.0	6411865.0
P22_CKDL240007483-1A_22553JLT4_L7_2_val_2	3831826.0	6295472.0
P23_CKDL240007483-1A_22553JLT4_L7_1_val_1	7603977.0	10660464.0
P23_CKDL240007483-1A_22553JLT4_L7_2_val_2	7854219.0	10410222.0
P2_CKDL240007483-1A_22553JLT4_L7_1_val_1	5388687.0	5488953.0
P2_CKDL240007483-1A_22553JLT4_L7_2_val_2	5544520.0	5333120.0
P3_CKDL240007483-1A_22553JLT4_L7_1_val_1	5307716.0	5331882.0
P3_CKDL240007483-1A_22553JLT4_L7_2_val_2	5458848.0	5180750.0
P5_CKDL240007483-1A_22553JLT4_L7_1_val_1	5996362.0	4449504.0
P5_CKDL240007483-1A_22553JLT4_L7_2_val_2	6169542.0	4276324.0
P6_CKDL240007483-1A_22553JLT4_L7_1_val_1	6578330.0	4076789.0
P6_CKDL240007483-1A_22553JLT4_L7_2_val_2	6750199.0	3904920.0
P7_CKDL240007483-1A_22553JLT4_L7_1_val_1	4414346.0	3525733.0
P7_CKDL240007483-1A_22553JLT4_L7_2_val_2	4536029.0	3404050.0
P9_CKDL240007483-1A_22553JLT4_L7_1_val_1	4258959.0	5935779.0
P9_CKDL240007483-1A_22553JLT4_L7_2_val_2	4396945.0	5797793.0
Undetermined_Undetermined_22553JLT4_L7_1_val_1	160189217.0	65209788.0
Undetermined_Undetermined_22553JLT4_L7_2_val_2	162405863.0	62993142.0
