Sample	Duplicate Reads	Unique Reads
B23_CKDL240007483-1A_22553JLT4_L7_2_val_2	3015431.0	5875354.0
B24_CKDL240007483-1A_22553JLT4_L7_1_val_1	3806111.0	6823474.0
B24_CKDL240007483-1A_22553JLT4_L7_2_val_2	3992004.0	6637581.0
B2_CKDL240007483-1A_22553JLT4_L7_1_val_1	5396354.0	5445749.0
B2_CKDL240007483-1A_22553JLT4_L7_2_val_2	5509140.0	5332963.0
B3_CKDL240007483-1A_22553JLT4_L7_1_val_1	5530696.0	5667823.0
B3_CKDL240007483-1A_22553JLT4_L7_2_val_2	5710855.0	5487664.0
B4_CKDL240007483-1A_22553JLT4_L7_1_val_1	5230828.0	5668298.0
B4_CKDL240007483-1A_22553JLT4_L7_2_val_2	5375727.0	5523399.0
B5_CKDL240007483-1A_22553JLT4_L7_1_val_1	7637792.0	3754776.0
B5_CKDL240007483-1A_22553JLT4_L7_2_val_2	7833288.0	3559280.0
B6_CKDL240007483-1A_22553JLT4_L7_1_val_1	6168011.0	2970280.0
B6_CKDL240007483-1A_22553JLT4_L7_2_val_2	6288057.0	2850234.0
B7_CKDL240007483-1A_22553JLT4_L7_1_val_1	6433467.0	4908245.0
B7_CKDL240007483-1A_22553JLT4_L7_2_val_2	6627032.0	4714680.0
B8_CKDL240007483-1A_22553JLT4_L7_1_val_1	6300714.0	2772572.0
B8_CKDL240007483-1A_22553JLT4_L7_2_val_2	6462541.0	2610745.0
B9_CKDL240007483-1A_22553JLT4_L7_1_val_1	4661149.0	6606809.0
B9_CKDL240007483-1A_22553JLT4_L7_2_val_2	4867760.0	6400198.0
C10_CKDL240007483-1A_22553JLT4_L7_1_val_1	2216503.0	3994669.0
C10_CKDL240007483-1A_22553JLT4_L7_2_val_2	2289120.0	3922052.0
C11_CKDL240007483-1A_22553JLT4_L7_1_val_1	3802615.0	5514645.0
C11_CKDL240007483-1A_22553JLT4_L7_2_val_2	3948123.0	5369137.0
C12_CKDL240007483-1A_22553JLT4_L7_1_val_1	5127252.0	6281706.0
C12_CKDL240007483-1A_22553JLT4_L7_2_val_2	5254358.0	6154600.0
C13_CKDL240007483-1A_22553JLT4_L7_1_val_1	6741972.0	4071958.0
C13_CKDL240007483-1A_22553JLT4_L7_2_val_2	6888115.0	3925815.0
C14_CKDL240007483-1A_22553JLT4_L7_1_val_1	10537154.0	4970993.0
C14_CKDL240007483-1A_22553JLT4_L7_2_val_2	10760607.0	4747540.0
C15_CKDL240007483-1A_22553JLT4_L7_1_val_1	5901122.0	3682201.0
C15_CKDL240007483-1A_22553JLT4_L7_2_val_2	6053113.0	3530210.0
C16_CKDL240007483-1A_22553JLT4_L7_1_val_1	5901180.0	3726567.0
C16_CKDL240007483-1A_22553JLT4_L7_2_val_2	6011620.0	3616127.0
C17_CKDL240007483-1A_22553JLT4_L7_1_val_1	3707931.0	4775997.0
