Sample	Assigned	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_MappingQuality	Unassigned_Secondary	Unassigned_FragmentLength	Unassigned_NonSplit	percent_assigned	Unassigned_Read_Type	Total	Unassigned_Ambiguity	Unassigned_Chimera	Unassigned_NoFeatures	Unassigned_Singleton	Unassigned_Overlapping_Length	Unassigned_Unmapped
O1_ME_UniquelyMapped	30412141	0	0	0	0	0	0	72.15626290182853	0	42147611	177387	0	11558083	0	0	0
O21_ME_UniquelyMapped	24081004	0	0	0	0	0	0	66.94256714541858	0	35972633	136601	0	11755028	0	0	0
O22_ME_UniquelyMapped	26986657	0	0	0	0	0	0	64.84348054875096	0	41618150	152895	0	14478598	0	0	0
O23_ME_UniquelyMapped	22522486	0	0	0	0	0	0	64.15566182862365	0	35105999	130972	0	12452541	0	0	0
O2_ME_UniquelyMapped	31499486	0	0	0	0	0	0	77.62834966557777	0	40577297	182915	0	8894896	0	0	0
O3_ME_UniquelyMapped	8307657	0	0	0	0	0	0	61.930989271362414	0	13414378	68978	0	5037743	0	0	0
O4_ME_UniquelyMapped	18751227	0	0	0	0	0	0	74.8799004989111	0	25041736	81529	0	6208980	0	0	0
O5_ME_UniquelyMapped	17676875	0	0	0	0	0	0	74.29258372201289	0	23793593	53993	0	6062725	0	0	0
O6_ME_UniquelyMapped	20630228	0	0	0	0	0	0	83.05912181993368	0	24838004	44148	0	4163628	0	0	0
O7_ME_UniquelyMapped	18028336	0	0	0	0	0	0	70.2627414320845	0	25658458	47720	0	7582402	0	0	0
O8_ME_UniquelyMapped	18876017	0	0	0	0	0	0	73.85185720469094	0	25559299	95878	0	6587404	0	0	0
O9_ME_UniquelyMapped	28051938	0	0	0	0	0	0	77.75486192785418	0	36077407	238721	0	7786748	0	0	0
P10_ME_UniquelyMapped	27526089	0	0	0	0	0	0	72.01740625202521	0	38221439	301997	0	10393353	0	0	0
P11_ME_UniquelyMapped	29783738	0	0	0	0	0	0	78.81587682852114	0	37789008	246734	0	7758536	0	0	0
P12_ME_UniquelyMapped	19134114	0	0	0	0	0	0	70.65431994643686	0	27081308	92923	0	7854271	0	0	0
P13_ME_UniquelyMapped	20338442	0	0	0	0	0	0	66.74070617798182	0	30473819	97197	0	10038180	0	0	0
P14_ME_UniquelyMapped	19962542	0	0	0	0	0	0	64.03048617744687	0	31176621	96176	0	11117903	0	0	0
P15_ME_UniquelyMapped	20606643	0	0	0	0	0	0	72.41447181570933	0	28456526	96164	0	7753719	0	0	0
P16_ME_UniquelyMapped	19835416	0	0	0	0	0	0	76.26272428498707	0	26009320	81847	0	6092057	0	0	0
P17_ME_UniquelyMapped	29821073	0	0	0	0	0	0	78.58666364840084	0	37946735	166360	0	7959302	0	0	0
P18_ME_UniquelyMapped	25966519	0	0	0	0	0	0	78.4200496906085	0	33112092	147871	0	6997702	0	0	0
P19_ME_UniquelyMapped	26482338	0	0	0	0	0	0	81.21910024849072	0	32606047	142482	0	5981227	0	0	0
P21_ME_UniquelyMapped	22912239	0	0	0	0	0	0	70.10823672310812	0	32681237	126799	0	9642199	0	0	0
P22_ME_UniquelyMapped	20338988	0	0	0	0	0	0	66.49327644006708	0	30588037	119487	0	10129562	0	0	0
P23_ME_UniquelyMapped	22436642	0	0	0	0	0	0	64.35196108108431	0	34865514	127838	0	12301034	0	0	0
P2_ME_UniquelyMapped	12096282	0	0	0	0	0	0	78.20080031119262	0	15468233	80138	0	3291813	0	0	0
P3_ME_UniquelyMapped	26178757	0	0	0	0	0	0	85.87468818512549	0	30484835	128832	0	4177246	0	0	0
P4_ME_UniquelyMapped	22088483	0	0	0	0	0	0	76.25777699769395	0	28965548	100091	0	6776974	0	0	0
P5_ME_UniquelyMapped	10678759	0	0	0	0	0	0	59.158094670820624	0	18051222	29474	0	7342989	0	0	0
P6_ME_UniquelyMapped	17979221	0	0	0	0	0	0	68.25203112685607	0	26342397	62234	0	8300942	0	0	0
P7_ME_UniquelyMapped	11400028	0	0	0	0	0	0	65.77242163365025	0	17332535	27597	0	5904910	0	0	0
P8_ME_UniquelyMapped	29469600	0	0	0	0	0	0	76.46792382643108	0	38538512	137100	0	8931812	0	0	0
P9_ME_UniquelyMapped	20080841	0	0	0	0	0	0	76.40934424312617	0	26280609	221174	0	5978594	0	0	0
