,animalID,sex,cohort,age_days,harvest_date,hatch_date,tissue,tissue_grind_date,RNA_extract_date,RNA_batch,RNA_extractor,RNAID,cDNA_batch,plate_well,sampleName,lib,censored,censor_code,notes
A17_2,I06,F,2,78,5/31/22,3/14/22,Spleen,NA,3/6/23,1,EC,RNA297,2,A17,A17,A17_2,,,
A18_2,P_1A_3,M,1A,152,2/7/22,9/8/21,Spleen,NA,3/6/23,1,EC,RNA313,2,A18,A18,A18_2,,,
A19_2,C1,F,2,155,8/16/22,3/14/22,Spleen,NA,3/6/23,1,JC,RNA329,2,A19,A19,A19_2,,,
A2_2,P_1B_10,M,1B,133,1/31/22,9/20/21,Bone,4/19/23,4/22/23,2,EC,RNA590,2,A2,A2,A2_2,,,
A20_2,J_1A_22,M,1A,47,10/25/21,9/8/21,Spleen,NA,3/6/23,2,EC,RNA345,2,A20,A20,A20_2,,,
A21_2,D_05,M,2,162,8/23/22,3/14/22,Brain,NA,1/31/23,1,IG,R23,2,A21,A21,A21_2,,,
A22_2,J_1A_1,M,1A,152,2/7/22,9/8/21,Brain,NA,1/31/23,1,EC,R39,2,A22,A22,A22_2,,,
A23_2,I06,F,2,78,5/31/22,3/14/22,Brain,NA,2/1/23,2,EC,R55,2,A23,A23,A23_2,,,
A24_2,J_1A_25,M,1A,103,12/20/21,9/8/21,Brain,NA,2/1/23,2,IG,R71,2,A24,A24,A24_2,,,
A3_2,J05,F,2,102,6/24/22,3/14/22,Bone,4/26/23,4/22/23,2,EC,RNA606,2,A3,A3,A3_2,,,
A4_2,J_1B_13,M,1B,77,12/6/21,9/20/21,Bone,4/28/23,4/29/23,3,EC,RNA622,2,A4,A4,A4_2,,,
A5_2,E_01,M,2,52,5/5/22,3/14/22,Fat,4/11/23,4/16/23,1,EC,RNA517,2,A5,A5,A5_2,,,
A6_2,J_1B_13,M,1B,77,12/6/21,9/20/21,Fat,4/12/23,4/16/23,1,EC,RNA533,2,A6,A6,A6_2,,,
A7_2,I06,F,2,78,5/31/22,3/14/22,Fat,4/12/23,4/17/23,2,EC,RNA549,2,A7,A7,A7_2,,,
A8_2,J_1A_25,M,1A,103,12/20/21,9/8/21,Fat,4/13/23,4/19/23,3,EC,RNA567,2,A8,A8,A8_2,,,
A9_2,I_03,M,2,162,8/23/22,3/14/22,SpinalCord,NA,3/10/23,1,EC,RNA407,2,A9,A9,A9_2,,,
B1_2,D12,M,2,134,7/26/22,3/14/22,Bone,4/19/23,4/22/23,1,EC,RNA573,2,B1,B1,B1_2,,,
B10_2,J_1A_25,M,1A,103,12/20/21,9/8/21,SpinalCord,NA,3/10/23,1,EC,RNA424,2,B10,B10,B10_2,,,
B11_2,H_02,M,2,52,5/5/22,3/14/22,SpinalCord,NA,3/13/23,2,JC,RNA440,2,B11,B11,B11_2,,,
B12_2,J_1A_1,M,1A,152,2/7/22,9/8/21,SpinalCord,NA,3/13/23,2,EC,RNA457,2,B12,B12,B12_2,,,
B13_2,D12,M,2,134,7/26/22,3/14/22,Heart,NA,3/3/23,1,EC,R188,2,B13,B13,B13_2,,,
B14_2,J_1A_22,M,1A,47,10/25/21,9/8/21,Heart,NA,3/3/23,1,JC,R204,2,B14,B14,B14_2,,,
B15_2,P_1A_12,F,1A,75,11/22/21,9/8/21,Heart,NA,3/3/23,1,JC,R220,2,B15,B15,B15_2,,,
B16_2,P_1A_2,F,1A,103,12/20/21,9/8/21,Heart,NA,3/3/23,2,EC,R236,2,B16,B16,B16_2,,,
B17_2,E04,M,2,102,6/24/22,3/14/22,Spleen,NA,3/6/23,1,EC,RNA298,2,B17,B17,B17_2,,,
B18_2,P_1A_12,F,1A,75,11/22/21,9/8/21,Spleen,NA,3/6/23,1,EC,RNA314,2,B18,B18,B18_2,,,
B19_2,A01,M,2,78,5/31/22,3/14/22,Spleen,NA,3/6/23,1,JC,RNA330,2,B19,B19,B19_2,,,
B2_2,J_1A_1,M,1A,152,2/7/22,9/8/21,Bone,4/19/23,4/22/23,2,EC,RNA591,2,B2,B2,B2_2,,,
B20_2,J_1B_4,M,1B,161,2/28/22,9/20/21,Spleen,NA,3/6/23,2,EC,RNA346,2,B20,B20,B20_2,,,
B21_2,I_03,M,2,162,8/23/22,3/14/22,Brain,NA,1/31/23,1,IG,R24,2,B21,B21,B21_2,,,
B22_2,J_1B_2,M,1B,49,11/8/21,9/20/21,Brain,NA,1/31/23,1,EC,R40,2,B22,B22,B22_2,,,
B23_2,A17,M,2,78,5/31/22,3/14/22,Brain,NA,2/1/23,2,EC,R56,2,B23,B23,B23_2,,,
B24_2,P_1B_2,M,1B,133,1/31/22,9/20/21,Brain,NA,2/1/23,2,IG,R72,2,B24,B24,B24_2,,,
B3_2,I06,F,2,78,5/31/22,3/14/22,Bone,4/26/23,4/22/23,2,EC,RNA607,2,B3,B3,B3_2,1,2,did not lib prep well
B4_2,P_1A_4,M,1A,133,1/19/22,9/8/21,Bone,4/28/23,4/29/23,3,EC,RNA623,2,B4,B4,B4_2,,,
B5_2,I05,F,2,134,7/26/22,3/14/22,Fat,4/11/23,4/16/23,1,EC,RNA518,2,B5,B5,B5_2,,,
B6_2,J-1B-6,F,1B,133,1/31/22,9/20/21,Fat,4/12/23,4/16/23,1,EC,RNA534,2,B6,B6,B6_2,,,
B7_2,E04,M,2,102,6/24/22,3/14/22,Fat,4/12/23,4/17/23,2,EC,RNA550,2,B7,B7,B7_2,,,
B8_2,P_1A_3,M,1A,152,2/7/22,9/8/21,Fat,4/13/23,4/19/23,3,EC,RNA568,2,B8,B8,B8_2,,,
B9_2,J9,F,2,155,8/16/22,3/14/22,SpinalCord,NA,3/10/23,1,EC,RNA408,2,B9,B9,B9_2,,,
C1_2,A17,M,2,78,5/31/22,3/14/22,Bone,4/19/23,4/22/23,1,EC,RNA574,2,C1,C1,C1_2,,,
C10_2,P_1B_11,M,1B,147,2/14/22,9/20/21,SpinalCord,NA,3/10/23,1,EC,RNA425,2,C10,C10,C10_2,,,
C11_2,I06,F,2,78,5/31/22,3/14/22,SpinalCord,NA,3/13/23,2,JC,RNA441,2,C11,C11,C11_2,,,
C12_2,P_1B_10,M,1B,133,1/31/22,9/20/21,SpinalCord,NA,3/13/23,2,EC,RNA458,2,C12,C12,C12_2,,,
C13_2,C_03,M,2,162,8/23/22,3/14/22,Heart,NA,3/3/23,1,EC,R189,2,C13,C13,C13_2,,,
C14_2,J_1A_1,M,1A,152,2/7/22,9/8/21,Heart,NA,3/3/23,1,JC,R205,2,C14,C14,C14_2,,,
C15_2,P_1A_8,F,1A,75,11/22/21,9/8/21,Heart,NA,3/3/23,1,JC,R221,2,C15,C15,C15_2,,,
C16_2,P_1B_11,M,1B,147,2/14/22,9/20/21,Heart,NA,3/3/23,2,EC,R237,2,C16,C16,C16_2,,,
C17_2,C_03,M,2,162,8/23/22,3/14/22,Spleen,NA,3/6/23,1,EC,RNA299,2,C17,C17,C17_2,,,
