Sample	Unassigned_NoFeatures	Unassigned_Chimera	Unassigned_Ambiguity	Unassigned_Secondary	Unassigned_FragmentLength	Total	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_MultiMapping	Unassigned_NonSplit	Assigned	percent_assigned	Unassigned_Overlapping_Length	Unassigned_Duplicate	Unassigned_Singleton	Unassigned_MappingQuality
B24_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2423808	0	74656	0	0	18003423	0	0	0	0	15504959	86.12228352352773	0	0	0	0
B2_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3394678	0	67170	0	0	18827053	0	0	0	0	15365205	81.61237449111127	0	0	0	0
B3_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2778824	0	67982	0	0	19251985	0	0	0	0	16405179	85.21292219997055	0	0	0	0
B4_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3178290	0	69642	0	0	18950542	0	0	0	0	15702610	82.86100735271846	0	0	0	0
B5_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1426045	0	63322	0	0	18327425	0	0	0	0	16838058	91.87356107036312	0	0	0	0
B6_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1015859	0	45766	0	0	14698427	0	0	0	0	13636802	92.77728834520865	0	0	0	0
B7_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2644145	0	68922	0	0	19136630	0	0	0	0	16423563	85.82265006952635	0	0	0	0
B8_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	813295	0	44776	0	0	14484297	0	0	0	0	13626226	94.07585331894258	0	0	0	0
B9_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	4312753	0	88248	0	0	18943495	0	0	0	0	14542494	76.76774533949516	0	0	0	0
C10_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1743287	0	47479	0	0	10561926	0	0	0	0	8771160	83.04508098238901	0	0	0	0
C11_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3690486	0	79288	0	0	15676763	0	0	0	0	11906989	75.95310970766094	0	0	0	0
C12_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	4584463	0	91473	0	0	18788442	0	0	0	0	14112506	75.11269960542764	0	0	0	0
C13_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	4654125	0	84462	0	0	17689283	0	0	0	0	12950696	73.21210249166118	0	0	0	0
C14_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3344016	0	101929	0	0	25965184	0	0	0	0	22519239	86.72859395103843	0	0	0	0
C15_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2450135	0	78109	0	0	16019762	0	0	0	0	13491518	84.21796778254259	0	0	0	0
C16_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2271662	0	63563	0	0	16525174	0	0	0	0	14189949	85.86868132220575	0	0	0	0
C17_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3276633	0	95304	0	0	13721684	0	0	0	0	10349747	75.42621590761017	0	0	0	0
C18_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3726052	0	124847	0	0	19333472	0	0	0	0	15482573	80.0816997588431	0	0	0	0
C19_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	4616737	0	109623	0	0	15605990	0	0	0	0	10879630	69.71444938770306	0	0	0	0
C1_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3980466	0	95417	0	0	25836940	0	0	0	0	21761057	84.22459083776948	0	0	0	0
C20_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3746711	0	74368	0	0	9865560	0	0	0	0	6044481	61.26850376461144	0	0	0	0
C21_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1963358	0	72740	0	0	12858110	0	0	0	0	10822012	84.16487337563608	0	0	0	0
C23_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2214536	0	70583	0	0	15904403	0	0	0	0	13619284	85.63216110658162	0	0	0	0
C24_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2206489	0	82306	0	0	15002834	0	0	0	0	12714039	84.74424898655813	0	0	0	0
C2_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2116958	0	51621	0	0	14104184	0	0	0	0	11935605	84.62456956035173	0	0	0	0
C3_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1986441	0	47598	0	0	13793843	0	0	0	0	11759804	85.25400789323179	0	0	0	0
C4_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1851966	0	41122	0	0	12341529	0	0	0	0	10448441	84.66083092297559	0	0	0	0
C5_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2390639	0	70150	0	0	18847582	0	0	0	0	16386793	86.94374164282718	0	0	0	0
C6_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1408490	0	55415	0	0	13984090	0	0	0	0	12520185	89.53163916994241	0	0	0	0
C7_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2565539	0	65096	0	0	18567050	0	0	0	0	15936415	85.83170185893827	0	0	0	0
C8_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1948247	0	61324	0	0	17157623	0	0	0	0	15148052	88.28759088598694	0	0	0	0
C9_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3998436	0	97262	0	0	20678086	0	0	0	0	16582388	80.1930507494746	0	0	0	0
D10_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3110341	0	78711	0	0	16232268	0	0	0	0	13043216	80.35362649261334	0	0	0	0
D11_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	4582838	0	95307	0	0	19039629	0	0	0	0	14361484	75.42943194954061	0	0	0	0
D12_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2801723	0	68221	0	0	13607920	0	0	0	0	10737976	78.90975255586451	0	0	0	0
D13_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2695622	0	74901	0	0	15491564	0	0	0	0	12721041	82.11592451220548	0	0	0	0
D14_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	4161811	0	73636	0	0	16732441	0	0	0	0	12496994	74.68721389784073	0	0	0	0
D15_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2561126	0	58482	0	0	12919440	0	0	0	0	10299832	79.72351742799998	0	0	0	0
D16_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2727945	0	103658	0	0	14329944	0	0	0	0	11498341	80.23995767185134	0	0	0	0
D17_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3862223	0	93708	0	0	14856808	0	0	0	0	10900877	73.3729412132135	0	0	0	0
D18_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3323921	0	70420	0	0	14047665	0	0	0	0	10653324	75.83697361803546	0	0	0	0
D19_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	4693721	0	98717	0	0	13364009	0	0	0	0	8571571	64.13921900232184	0	0	0	0
D1_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3267874	0	75054	0	0	21860516	0	0	0	0	18517588	84.70791814795223	0	0	0	0
D20_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2689127	0	80963	0	0	11914060	0	0	0	0	9143970	76.74940364577651	0	0	0	0
D21_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2845910	0	77084	0	0	16705704	0	0	0	0	13782710	82.50301813081329	0	0	0	0
D23_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2494725	0	86592	0	0	15802039	0	0	0	0	13220722	83.66465871904254	0	0	0	0
D24_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2607779	0	97869	0	0	17066028	0	0	0	0	14360380	84.1460004636111	0	0	0	0
D2_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2062495	0	45187	0	0	12857643	0	0	0	0	10749961	83.60755544387101	0	0	0	0
D3_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2949657	0	63491	0	0	18345717	0	0	0	0	15332569	83.5757414114695	0	0	0	0
D4_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2767885	0	64961	0	0	18839578	0	0	0	0	16006732	84.96332561164587	0	0	0	0
D5_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2525090	0	67989	0	0	19246064	0	0	0	0	16652985	86.52670488885416	0	0	0	0
D6_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2048746	0	57192	0	0	16457237	0	0	0	0	14351299	87.20357493788296	0	0	0	0
D7_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1568669	0	56821	0	0	15575368	0	0	0	0	13949878	89.56371367918882	0	0	0	0
D8_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1601798	0	42342	0	0	11308492	0	0	0	0	9664352	85.46101460742953	0	0	0	0
D9_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	5450971	0	108468	0	0	21330564	0	0	0	0	15771125	73.93674635138574	0	0	0	0
E10_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	4100730	0	88267	0	0	19711997	0	0	0	0	15523000	78.74899737454302	0	0	0	0
E11_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2722490	0	69465	0	0	15256649	0	0	0	0	12464694	81.70007712702836	0	0	0	0
E12_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3929718	0	96799	0	0	19925280	0	0	0	0	15898763	79.79191760416917	0	0	0	0
